gold_id,item_text,item_type,pipeline_domain,pipeline_similarity,notes,true_domain_id,labeler_id
gfs_fa3fa9f2c8d0,contribute to teamwork,skill,Leadership & People Development,0.451,,MCK02,labeler1
gfs_9bba19218606,provide input into development and implementation of Machine Learning technology,skill,AI & Machine Learning,0.457,,WEF01,labeler1
gfs_94f973804f67,drive delivery of AI/ML models,skill,AI & Machine Learning,0.452,,WEF01,labeler1
gfs_a3f217487bb7,develop AI/ML solutions,skill,AI & Machine Learning,0.552,,WEF01,labeler1
gfs_7d919a9aae59,lead development team,skill,Leadership & People Development,0.554,,MCK03,labeler1
gfs_5ce130956c85,maintain production efficiency,skill,Environmental & Sustainability Technology,0.262,,unclear,labeler1
gfs_ff890522e2e9,ensure successful adoption of platforms,skill,Digital Platforms & E-commerce,0.367,,WEF05,labeler1
gfs_baff7f2f3358,ensure accurate records,skill,Routine Data Entry & Clerical,0.272,,DEC01,labeler1
gfs_6839aecbfa01,implement systems,skill,Blockchain & Distributed Systems,0.405,,unclear,labeler1
gfs_31d019271a5f,deploy advanced algorithms,skill,Cloud Computing & Infrastructure,0.314,,ONET01,labeler1
gfs_a2ba48785de9,capture video content,skill,Game Development & Interactive Media,0.101,,ONET04,labeler1
gfs_f6b672d4216b,manage backup plans,skill,Project Management & Agile Methodologies,0.251,,ESCO01,labeler1
gfs_56b9c6adb555,maintain leading class security practices,skill,Cybersecurity,0.278,,WEF03,labeler1
gfs_dc0b22d84884,develop software,skill,Software Development & Engineering,0.435,,ONET01,labeler1
gfs_d5897e391869,develop software modules,skill,Software Development & Engineering,0.359,,ONET01,labeler1
gfs_ff4be6ed4a35,work in a creative fast-paced environment,skill,Routine Maintenance Coding,0.277,,MCK02,labeler1
gfs_d6940fed787c,build autonomous marine systems,skill,Cloud Computing & Infrastructure,0.275,,ONET01,labeler1
gfs_ab00d5f0aeec,manage programming projects,skill,Project Management & Agile Methodologies,0.459,,ESCO01,labeler1
gfs_ae33490b1cfd,lead multidisciplinary teams and external partners,skill,Leadership & People Development,0.498,,MCK03,labeler1
