gold_id,job_id,knowledge,confidence_score,confidence_tier,source,is_overlap,is_correct,labeler_id,notes
gk_fab1a6469a93,in-97adc8336046596c,accounting,0.75,Medium High,LLM,True,,,
gk_348bc411789b,in-93aed81bda9bfb30,Gen AI,0.75,Medium High,LLM,False,,,
gk_338ec0dc541a,in-fba97622e02dbd85,Cyber Essentials Plus,0.75,Medium High,LLM,False,,,
gk_7fab2598a5ec,in-ff72cc6d9c49ef31,integrations,0.75,Medium High,LLM,False,,,
gk_8bb73706297f,in-32168b74a95acaec,AI Executive Assistant,0.75,Medium High,LLM,True,,,
gk_ac25800e8cb8,in-b2963712f8d78bc5,artworks,0.75,Medium High,LLM,False,,,
gk_ae21802c8115,in-15d6853d12210469,distributed orchestration & computing systems,0.75,Medium High,LLM,False,,,
gk_e0c80f919c1d,in-24e6774cfc377d56,links,0.75,Medium High,LLM,False,,,
gk_7eb83dfc0b91,in-738720cf19301ea9,algorithms,0.75,Medium High,LLM,False,,,
gk_a31dfbbd3879,in-629b24d15aa9e277,background investigation,0.75,Medium High,LLM,True,,,
gk_cce42a79f52b,in-74d5325de049d523,telecommunications and mobility engineering services,0.75,Medium High,LLM,True,,,
gk_798d60302180,in-622bc59bffbcf754,analog circuit design,0.75,Medium High,LLM,False,,,
gk_3ec49b940eeb,in-f3e48476eaf14f94,power generation environment,0.75,Medium High,LLM,True,,,
gk_de9524a361e3,in-720558ce01b11713,parts catalogues,0.75,Medium High,LLM,False,,,
gk_063c38d15de3,in-fe7e0f6a6d1ffa87,configuration,0.75,Medium High,LLM,False,,,
gk_1e46932c981b,in-096db57aaa9945b9,self-supervised learning,0.75,Medium High,LLM,True,,,
gk_b46352ea8b3e,in-18d58b2611b20352,data platform,0.75,Medium High,LLM,False,,,
gk_dd770500920f,in-920aaab883096462,PMP,0.75,Medium High,LLM,False,,,
gk_be5edd275e7c,in-a851aeca4a01b695,controls modeling,0.75,Medium High,LLM,True,,,
gk_ed2931768188,in-deab27ea521f31db,Dive-XL,0.75,Medium High,LLM,False,,,
gk_cf79011ce170,in-251592601defbb8b,SQL Server,0.75,Medium High,LLM,False,,,
gk_fbc3b6b449ca,in-cceb43d1caee8103,ArcGIS Pro,0.75,Medium High,LLM,False,,,
gk_3f37ee54d475,in-308fba0da1a621d9,bench tester,0.75,Medium High,LLM,True,,,
gk_e8a9cf5b7fbc,in-7109d09293c63829,Hardware Engineering,0.75,Medium High,LLM,False,,,
gk_23473d7a3214,in-012935cc80fa157a,Artificial Intelligence,0.75,Medium High,LLM,False,,,
gk_5a15a3ef008b,in-9511613d07995d87,regulatory reporting,0.75,Medium High,LLM,False,,,
gk_6912b6d0bcb0,in-43fb9289b3c8f593,transport,0.75,Medium High,LLM,True,,,
gk_e8a839b12d9d,in-c5caa84cde5996ff,U.S. export controls,0.75,Medium High,LLM,False,,,
gk_b0b66d5f619a,in-2d32da1cc49bfc50,lighting,0.75,Medium High,LLM,False,,,
