gold_id,job_id,knowledge,confidence_score,confidence_tier,source,is_overlap,notes,is_correct,labeler_id
gk_ba2d4de43aed,in-bbad41219cc740ed,Growth Marketing,0.75,Medium High,LLM,True,,yes,labeler1
gk_5cc543a12f97,in-a2a8769491dd2881,volunteer management lifecycle,0.75,Medium High,LLM,False,,yes,labeler1
gk_3a739f3b4614,in-29a1ec53620be6a8,Chaos Engineering,0.75,Medium High,LLM,False,,yes,labeler1
gk_11a35aed7f6d,in-a0c45f0fdfea2762,technical audio,0.75,Medium High,LLM,False,,yes,labeler1
gk_9b59b49aa58d,in-a7d7380a191d11c4,Engineering operative standard,0.75,Medium High,LLM,True,,yes,labeler1
gk_44e4e03ebe22,in-368b730dfbfb2c56,AutoCAD,0.75,Medium High,LLM,False,,yes,labeler1
gk_1ce2d95be814,in-4aab702ede0af613,API,0.75,Medium High,LLM,False,,yes,labeler1
gk_607359f30506,in-2f5b3f13e615982a,layer 2 protocols,0.75,Medium High,LLM,False,,yes,labeler1
gk_79d774a651a4,in-b96ed15875997926,native modules,0.75,Medium High,LLM,False,,yes,labeler1
gk_9ddd75fe588b,in-73b5ece9f9ecc3a9,cloud-native integration platforms,0.75,Medium High,LLM,True,,yes,labeler1
gk_e036a1b556bc,in-bae7da04393e2cef,chatbot,0.75,Medium High,LLM,True,,yes,labeler1
gk_e90dfecf0666,in-04248886f0c9f962,unclassified environments,0.75,Medium High,LLM,False,,yes,labeler1
gk_6b04fb542964,in-366ed5fb266e1ee3,DeltaLake,0.75,Medium High,LLM,True,,yes,labeler1
gk_107a0f409ad0,in-12e4e1edda8ca7ae,Spark,0.75,Medium High,LLM,False,,yes,labeler1
gk_676ff73261dd,in-b717309a36d86a55,Ignition,0.75,Medium High,LLM,False,,yes,labeler1
gk_4fb8f24a5a23,in-73b5ece9f9ecc3a9,Oracle Service Bus (OSB),0.75,Medium High,LLM,True,,yes,labeler1
gk_722975b808cb,in-a48e951226650184,property development,0.75,Medium High,LLM,False,,yes,labeler1
gk_5a5ca07eb0bb,in-0250e3c3a534c646,replication lag,0.75,Medium High,LLM,False,,yes,labeler1
gk_aa2d9ba65cc6,in-04248886f0c9f962,Air Force cybersecurity policy (AFMAN 17-130),0.75,Medium High,LLM,True,,yes,labeler1
gk_49840b0a2c8a,in-487df2b1087d73fa,YOLO,0.75,Medium High,LLM,False,,yes,labeler1
gk_00ecbdf9cce6,in-04248886f0c9f962,NIST SP 800-53,0.75,Medium High,LLM,False,,yes,labeler1
gk_1240933a241f,in-4fac46ba90c4b16c,artificial intelligence,0.75,Medium High,LLM,False,,yes,labeler1
gk_96e0a7f40563,in-3a25de1e948c9510,SaaS,0.75,Medium High,LLM,True,,yes,labeler1
gk_35f3d2348d05,in-bc40d95a380aa266,large-scale systems,0.75,Medium High,LLM,False,,,
gk_66a4c728841e,in-73b5ece9f9ecc3a9,Fusion,0.75,Medium High,LLM,False,,,
gk_320fd01183eb,in-c795d5647c5b2fa6,hardware validation,0.75,Medium High,LLM,False,,,
gk_32488a78b30d,in-8d9ae454713adb22,Series A funding,0.75,Medium High,LLM,True,,,
gk_a302a46a8b92,in-30af647e83a32e8c,architecture,0.75,Medium High,LLM,False,,,
gk_4ca4f2070616,in-acd852647e0ad998,architecture,0.75,Medium High,LLM,False,,,
gk_736a260ac1c3,in-4fac46ba90c4b16c,machine learning,0.75,Medium High,LLM,False,,,
gk_339349967e69,in-4aae1652e7ec2129,PMO,0.75,Medium High,LLM,True,,,
gk_30c6142e81c8,in-a2a8769491dd2881,platform reliability,0.75,Medium High,LLM,True,,,
gk_598156630d36,in-4bd1ca2b1bfdfa6d,taxonomies,0.75,Medium High,LLM,False,,,
gk_9fec6481e4f7,in-431768e5d2264d2d,Node.js,0.75,Medium High,LLM,True,,,
gk_ba957af8a69b,in-b717309a36d86a55,analytics and visualization software applications,0.75,Medium High,LLM,False,,,
gk_69c10bd843b6,in-04248886f0c9f962,system administration,0.75,Medium High,LLM,False,,,
gk_de9d0bbf8c2a,in-1021728769a1b1b3,Statistics,0.75,Medium High,LLM,False,,,
gk_162c9282f677,in-2f5b3f13e615982a,VxLAN,0.75,Medium High,LLM,False,,,
gk_ad4c55e5c7ac,in-487df2b1087d73fa,SAM,0.75,Medium High,LLM,False,,,
gk_d0c4a45c8aaf,in-6953506b6f0d8ecb,architecture,0.75,Medium High,LLM,True,,,
gk_dcbcd9e1e330,in-431768e5d2264d2d,editor plugins,0.75,Medium High,LLM,True,,,
gk_15f6370ecaf6,in-4aab702ede0af613,B2B SaaS,0.75,Medium High,LLM,False,,,
gk_a37e3384585a,in-16914020afc5dd69,AI/ML,0.75,Medium High,LLM,True,,,
gk_925fde86c01a,in-9378455c1bb091a1,IHV,0.75,Medium High,LLM,False,,,
gk_f5ed9c1ebd1c,in-ce4ba705be083cdb,RS-232/485,0.75,Medium High,LLM,True,,,
gk_494065b5a565,in-e78abd8a232a690b,public sector,0.75,Medium High,LLM,True,,,
gk_522ef4e4ae20,in-368b730dfbfb2c56,OAA,0.75,Medium High,LLM,False,,,
gk_d3eed4708d4d,in-fb45f01ebbc2a223,M365 certifications,0.75,Medium High,LLM,False,,,
gk_d9730d8616a7,in-ded3a3347d3bcae7,vendor coordination,0.75,Medium High,LLM,False,,,
gk_fb842403d225,in-0203fddefc4a7b12,live commerce,0.75,Medium High,LLM,False,,,
gk_1146dde6321f,in-12e4e1edda8ca7ae,content metadata,0.75,Medium High,LLM,False,,,
gk_63641345aff3,in-34c6520c08d55db7,customer experience,0.75,Medium High,LLM,False,,,
gk_18f9af814efe,in-d7d35694d4becf69,Industrial Automation,0.75,Medium High,LLM,False,,,
gk_cd013371017c,in-6c717e860c5e6516,analytics,0.75,Medium High,LLM,True,,,
gk_6574a8b0e228,in-8d007d54a6e9b3b3,platform services,0.75,Medium High,LLM,False,,,
gk_6585a154526c,in-368b730dfbfb2c56,Residential,0.75,Medium High,LLM,True,,,
gk_12b1eef58bb6,in-4e8588b946d21212,customer success,0.75,Medium High,LLM,False,,,
gk_5466c264cedc,in-17ecef6aa8580020,die casting,0.75,Medium High,LLM,False,,,
gk_04012ecd9e93,in-b717309a36d86a55,oil equivalent resource,0.75,Medium High,LLM,False,,,
gk_5f7b3b04578f,in-34c6520c08d55db7,beauty,0.75,Medium High,LLM,False,,,
gk_091dece9261a,in-ce4ba705be083cdb,maritime operations,0.75,Medium High,LLM,False,,,
gk_c7cd7b68b28d,in-7c6b469bd3c32c83,building management,0.75,Medium High,LLM,False,,,
gk_c626bdd452ce,in-245d39f4f47bb97d,semiconductor,0.75,Medium High,LLM,False,,,
gk_7b89ad9e5de6,in-0250e3c3a534c646,Terraform,0.75,Medium High,LLM,False,,,
gk_511ef337f479,in-4e8588b946d21212,consumer-driven insights,0.75,Medium High,LLM,False,,,
gk_9b31d2e2076f,in-b96ed15875997926,GraphQL,0.75,Medium High,LLM,False,,,
gk_37d3d4144253,in-73b5ece9f9ecc3a9,SVN,0.75,Medium High,LLM,False,,,
gk_06879f5df563,in-fb45f01ebbc2a223,provisioning,0.75,Medium High,LLM,False,,,
gk_b55308d023ef,in-366ed5fb266e1ee3,Apache Iceberg,0.75,Medium High,LLM,False,,,
gk_3b1ae074420b,in-bae8b479625db1b2,SaaS platform,0.75,Medium High,LLM,True,,,
gk_221359b57f64,in-4ede713a5581ba77,consumer packaged goods,0.75,Medium High,LLM,True,,,
gk_f5277742107e,in-12e4e1edda8ca7ae,Redis,0.75,Medium High,LLM,False,,,
gk_3995109732bf,in-ee0deef20dee727b,sustainability,0.75,Medium High,LLM,True,,,
gk_cbeafb5c7492,in-6953506b6f0d8ecb,foundational libraries,0.75,Medium High,LLM,True,,,
gk_179167a10bf0,in-25943c33b8b06d57,civil engineering,0.75,Medium High,LLM,False,,,
gk_c7b6ce24c06d,in-e4187db23d86d9a0,MeSH,0.75,Medium High,LLM,False,,,
gk_4a3404f5d082,in-04248886f0c9f962,Nessus APIs,0.75,Medium High,LLM,True,,,
gk_71c69b861224,in-73b5ece9f9ecc3a9,Mediators,0.75,Medium High,LLM,True,,,
gk_324980d4548f,in-189e4607c218da31,demand planning,0.75,Medium High,LLM,False,,,
gk_b5dda57fc799,in-ee0deef20dee727b,external environmental reporting,0.75,Medium High,LLM,False,,,
gk_6ec4c5202478,in-0fcfe59aff7d7b19,neural networks,0.75,Medium High,LLM,True,,,
gk_fd99d6e28c4b,in-04248886f0c9f962,ACAS,0.75,Medium High,LLM,False,,,
gk_843f7a391d7c,in-cf33fce1da9e5f1f,digital assets,0.75,Medium High,LLM,False,,,
gk_b1f7fbac47ce,in-189e4607c218da31,customer service,0.75,Medium High,LLM,True,,,
gk_9373729a7aa4,in-3a40f4b75ecb8f1e,AWS Cloud infrastructure,0.75,Medium High,LLM,False,,,
gk_998080c233be,in-7c6b469bd3c32c83,State of Washington statutes,0.75,Medium High,LLM,False,,,
gk_871f35652441,in-bbad41219cc740ed,subscription campaigns,0.75,Medium High,LLM,False,,,
gk_80795b0573c7,in-bbad41219cc740ed,data-driven analysis,0.75,Medium High,LLM,False,,,
gk_8ea0725bdb6e,in-443f3ba3c65aa81b,full-stack development,0.75,Medium High,LLM,True,,,
gk_73c2e111f439,in-fb45f01ebbc2a223,Conditional Access,0.75,Medium High,LLM,False,,,
gk_2f7adeb72c34,in-c537f69349c9b14d,AI ecosystems,0.75,Medium High,LLM,True,,,
gk_6e38b8b05849,in-4fac46ba90c4b16c,cloud platform,0.75,Medium High,LLM,False,,,
gk_ec28b649f171,in-fbb699e18d37f468,operational efficiency,0.75,Medium High,LLM,False,,,
gk_f1a3d0a31617,in-2b0d7561fe568605,GCP,0.75,Medium High,LLM,False,,,
gk_2e2980226c7b,in-b717309a36d86a55,logistics,0.75,Medium High,LLM,False,,,
gk_9ef7973b9e45,in-788288259e19ed8a,distributed systems,0.75,Medium High,LLM,False,,,
gk_c76894acc471,in-ebb58af1f32d768c,resilient infrastructure,0.75,Medium High,LLM,True,,,
gk_835cd0e79d5d,in-9f929fe6c651de14,Crisis Management,0.75,Medium High,LLM,False,,,
gk_2fef140fa240,in-a365d58724aaf9f6,video cameras,0.75,Medium High,LLM,False,,,
gk_56a32e200bc1,in-366ed5fb266e1ee3,AWS,0.75,Medium High,LLM,False,,,
