rank,skill,priority_score,demand_freq,trend_label,trend_q_value,future_weight,future_domain,skill_type,bloom_level,priority_label,reviewer_id,notes,is_overlap
1,collaborate with team,0.4976283364362701,10,Unknown,1.0,0.17964528799057,Advanced Communication & Collaboration,Soft,Unknown,,,,True
2,solve problems,0.4413761385324523,6,Unknown,1.0,0.3705509662628174,Critical Thinking & Problem Solving,Soft,Unknown,,,,True
3,conceptualize AI integration,0.3399999999999999,1,Unknown,1.0,0.5520281136035919,Human-AI Collaboration,Hard,Apply,,,,True
4,develop AI/ML solutions,0.3397995280437934,1,Unknown,1.0,0.5516592264175415,AI & Machine Learning,Hard,Create,,,,True
5,develop critical thinking skills,0.3283608778967205,1,Unknown,1.0,0.5306110382080078,Critical Thinking & Problem Solving,Soft,Unknown,,,,True
6,build cloud infrastructure,0.3214965314076887,1,Unknown,1.0,0.517979997396469,Cloud Computing & Infrastructure,Hard,Create,,,,True
7,support AI platforms,0.3195475490679156,1,Unknown,1.0,0.51439368724823,AI & Machine Learning,Hard,Evaluate,,,,True
8,design AI/ML solutions,0.3192659962486185,1,Unknown,1.0,0.5138756036758423,AI & Machine Learning,Hard,Create,,,,True
9,build AI and robotics products,0.3192609187745706,1,Unknown,1.0,0.5138662606477737,Human-AI Collaboration,Hard,Create,,,,True
10,work with multiple cloud infrastructures,0.3176369336444811,1,Unknown,1.0,0.5108779758214951,Cloud Computing & Infrastructure,Hard,Analyze,,,,True
11,provision cloud infrastructure,0.314229874056293,1,Unknown,1.0,0.50460866689682,Cloud Computing & Infrastructure,Hard,Analyze,,,,False
12,manage cloud infrastructure,0.3134934670211825,1,Unknown,1.0,0.5032536089420319,Cloud Computing & Infrastructure,Hard,Analyze,,,,False
13,collaborate with cross-functional teams,0.3113980897403506,5,Unknown,1.0,0.2049829244613647,Advanced Communication & Collaboration,Soft,Unknown,,,,False
14,communicate effectively,0.3106517022430147,6,Unknown,1.0,0.1300057530403137,Advanced Communication & Collaboration,Soft,Unknown,,,,False
15,integrate AI,0.3042601217650079,1,Unknown,1.0,0.4862633883953094,Human-AI Collaboration,Hard,Create,,,,False
16,work closely with data scientists,0.3020628270280643,2,Unknown,1.0,0.4086164116859436,Big Data & Analytics,Soft,Unknown,,,,False
17,teach artificial intelligence,0.2977738827022406,1,Unknown,1.0,0.4743281006813049,AI & Machine Learning,Hard,Apply,,,,False
18,architect AI factories,0.2967255041624003,1,Unknown,1.0,0.4723989859223365,Human-AI Collaboration,Hard,Create,,,,False
19,teach data analytics,0.2953612225171123,1,Unknown,1.0,0.4698885798454285,Big Data & Analytics,Hard,Apply,,,,False
20,implement agentic AI technologies,0.2947310569700794,1,Unknown,1.0,0.4687290161848068,Human-AI Collaboration,Hard,Analyze,,,,False
