job_id,job_date,sentence_id,sentence_raw,sentence_clean,sentence_en
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0001,"**DESCRIPTION** - Join Amazon Robotics (AR) Problem Management team to solve the most complex, high\\-impact hardware performance challenges that keep our fulfillment centers running at peak efficiency.","DESCRIPTION - Join Amazon Robotics (AR) Problem Management team to solve the most complex, high -impact hardware performance challenges that keep our fulfillment centers running at peak efficiency.","DESCRIPTION - Join Amazon Robotics (AR) Problem Management team to solve the most complex, high -impact hardware performance challenges that keep our fulfillment centers running at peak efficiency."
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0002,"As a Senior Support Engineer, you'll be the technical force multiplier who transforms one\\-time fixes into scalable solutions that protect our robotics infrastructure across the network.","As a Senior Support Engineer, you'll be the technical force multiplier who transforms one -time fixes into scalable solutions that protect our robotics infrastructure across the network.","As a Senior Support Engineer, you'll be the technical force multiplier who transforms one -time fixes into scalable solutions that protect our robotics infrastructure across the network."
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0003,"Benefits can vary by location, the number of regularly scheduled hours you work, length of employment, and job status such as seasonal or temporary employment.","Benefits can vary by location, the number of regularly scheduled hours you work, length of employment, and job status such as seasonal or temporary employment.","Benefits can vary by location, the number of regularly scheduled hours you work, length of employment, and job status such as seasonal or temporary employment."
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0004,"The benefits that generally apply to regular, full\\-time employees include: 1\\.","The benefits that generally apply to regular, full -time employees include: 1 .","The benefits that generally apply to regular, full -time employees include: 1 ."
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0005,"Medical, Dental, and Vision Coverage 2\\.","Medical, Dental, and Vision Coverage 2 .","Medical, Dental, and Vision Coverage 2 ."
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0006,Maternity and Parental Leave Options 3\\.,Maternity and Parental Leave Options 3 .,Maternity and Parental Leave Options 3 .
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0007,Paid Time Off (PTO) 4\\.,Paid Time Off (PTO) 4 .,Paid Time Off (PTO) 4 .
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0008,"401(k) Plan If you are not sure that every qualification on the list above describes you exactly, we'd still love to hear from you!","401(k) Plan If you are not sure that every qualification on the list above describes you exactly, we'd still love to hear from you!","401(k) Plan If you are not sure that every qualification on the list above describes you exactly, we'd still love to hear from you!"
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0009,Our inclusive culture empowers Amazonians to deliver the best results for our customers.,Our inclusive culture empowers Amazonians to deliver the best results for our customers.,Our inclusive culture empowers Amazonians to deliver the best results for our customers.
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0010,"If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how\\-we\\-hire/accommodations for more information.","If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https: amazon.jobs/content/en/how -we -hire/accommodations for more information.","If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https: amazon.jobs/content/en/how -we -hire/accommodations for more information."
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0011,"If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.","If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.","If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner."
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0012,The base salary range for this position is listed below.,The base salary range for this position is listed below.,The base salary range for this position is listed below.
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0013,Your Amazon package will include sign\\-on payments and restricted stock units (RSUs).,Your Amazon package will include sign -on payments and restricted stock units (RSUs).,Your Amazon package will include sign -on payments and restricted stock units (RSUs).
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0014,"Final compensation will be determined based on factors including experience, qualifications, and location.","Final compensation will be determined based on factors including experience, qualifications, and location.","Final compensation will be determined based on factors including experience, qualifications, and location."
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0015,"Amazon also offers comprehensive benefits including health insurance (medical, dental, vision, prescription, Basic Life \\& AD\\&D insurance and option for Supplemental life plans, EAP, Mental Health Support, Medical Advice Line, Flexible Spending Accounts, Adoption and Surrogacy Reimbursement coverage), 401(k) matching, paid time off, and parental leave.","Amazon also offers comprehensive benefits including health insurance (medical, dental, vision, prescription, Basic Life & AD &D insurance and option for Supplemental life plans, EAP, Mental Health Support, Medical Advice Line, Flexible Spending Accounts, Adoption and Surrogacy Reimbursement coverage), 401(k) matching, paid time off, and parental leave.","Amazon also offers comprehensive benefits including health insurance (medical, dental, vision, prescription, Basic Life & AD &D insurance and option for Supplemental life plans, EAP, Mental Health Support, Medical Advice Line, Flexible Spending Accounts, Adoption and Surrogacy Reimbursement coverage), 401(k) matching, paid time off, and parental leave."
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0016,Learn more about our benefits at https://amazon.jobs/en/benefits.,Learn more about our benefits at https: amazon.jobs/en/benefits.,Learn more about our benefits at https: amazon.jobs/en/benefits.
in-0bba1f3fa07f6e6c,2026-02-09,in-0bba1f3fa07f6e6c_0017,"USA, MA, N.Reading \\- 121,000\\.00 \\- 163,700\\.00 USD annually USA, MA, WESTBORO \\- 121,000\\.00 \\- 163,700\\.00 USD annually USA, TX, Austin \\- 121,000\\.00 \\- 163,700\\.00 USD annually USA, WA, Seattle \\- 121,000\\.00 \\- 163,700\\.00 USD annually","USA, MA, N.Reading - 121,000 .00 - 163,700 .00 USD annually USA, MA, WESTBORO - 121,000 .00 - 163,700 .00 USD annually USA, TX, Austin - 121,000 .00 - 163,700 .00 USD annually USA, WA, Seattle - 121,000 .00 - 163,700 .00 USD annually","USA, MA, N.Reading - 121,000 .00 - 163,700 .00 USD annually USA, MA, WESTBORO - 121,000 .00 - 163,700 .00 USD annually USA, TX, Austin - 121,000 .00 - 163,700 .00 USD annually USA, WA, Seattle - 121,000 .00 - 163,700 .00 USD annually"
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0001,"**Company:** - Qualcomm Technologies, Inc. **Job Area:** - Engineering Group, Engineering Group \\> Systems Engineering **General Summary:** Qualcomm Data Center team is developing High performance, Energy efficient server solution for data center applications.","Company: - Qualcomm Technologies, Inc. Job Area: - Engineering Group, Engineering Group > Systems Engineering General Summary: Qualcomm Data Center team is developing High performance, Energy efficient server solution for data center applications.","Company: - Qualcomm Technologies, Inc. Job Area: - Engineering Group, Engineering Group > Systems Engineering General Summary: Qualcomm Data Center team is developing High performance, Energy efficient server solution for data center applications."
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0002,"We are looking for highly talented, innovative, teamwork\\-oriented individuals for our cutting\\-edge technology work! **Our Mission** We are dedicated to transforming the industry by reimagining silicon and developing next\\-generation computing platforms.","We are looking for highly talented, innovative, teamwork -oriented individuals for our cutting -edge technology work! Our Mission We are dedicated to transforming the industry by reimagining silicon and developing next -generation computing platforms.","We are looking for highly talented, innovative, teamwork -oriented individuals for our cutting -edge technology work! Our Mission We are dedicated to transforming the industry by reimagining silicon and developing next -generation computing platforms."
in-79b1a44b8766f461,2026-03-09,in-79b1a44b8766f461_0003,"By joining our team, you’ll collaborate with world\\-class engineers to create innovative solutions that push the limits of performance, energy efficiency, and scalability.","By joining our team, you’ll collaborate with world -class engineers to create innovative solutions that push the limits of performance, energy efficiency, and scalability.","By joining our team, you’ll collaborate with world -class engineers to create innovative solutions that push the limits of performance, energy efficiency, and scalability."
