job_id,total,kept
go-5ACXXKsqpfFAS9RWAAAAAA==,20,13
go-JrFU12Z72LdoqDYmAAAAAA==,5,3
in-0002186855c90db4,12,0
in-00485717888f4779,34,5
in-00679b8be27a746a,22,4
in-00aa85ea00d05cdb,7,0
in-00fbfc65fe523c7b,29,14
in-0164202cc5c10f7a,13,7
in-01668b60e2bf685c,11,3
in-019655235fee5ccb,16,15
in-019d6a10184d7fa7,25,9
in-01a9aaa69c709bd4,21,2
in-01b1e4ac4d9ced34,19,3
in-01b63023046c46f9,22,2
in-020852dd9914db50,6,3
in-0257bc3d652b6882,12,1
in-0271228e35090471,16,6
in-0281e8bfe445f790,7,2
in-02ab26cedb75a521,9,1
in-041a59c03708c1be,5,2
in-04549e6c6360da68,22,1
in-0462993b08b761c7,2,2
in-0476ed05578c2c87,15,3
in-05059c37a75ec8dc,1,1
in-051d47848e79a3bd,12,5
in-0533080b49b9179a,12,9
in-0575010d549b29b8,28,5
in-0594c9d276baedf6,14,1
in-05ec792f2cbca421,9,2
in-0619df61f5e46084,6,5
in-06ce51edc9d09fae,18,5
in-06d78cd75ea2622a,13,2
in-06ed848dde78534c,12,5
in-0749ba17badc7c6c,82,64
in-07670cfa6f90a4e2,10,1
in-079df7c8448d338c,25,4
in-079fa62336e07385,9,6
in-07a1078d241e4838,30,4
in-08212d64f059f278,4,1
in-0888eff159cdc985,10,3
in-08bf94a0400afca1,7,4
in-08ebb6c3455cacef,28,1
in-0952d9daf5dfaff4,4,0
in-0a211caf9ccaf135,4,2
in-0a90f29a3f28928c,5,0
in-0b389ee55f36b822,11,10
in-0b5425665d58c04a,2,0
in-0bba1f3fa07f6e6c,17,2
in-0bba5604e1a0eace,14,14
in-0c0f7655a8d92855,10,7
in-0c1b7805a690509f,16,3
in-0c1fc8b8e3137b1b,7,0
in-0c534dbb7452f33d,7,6
in-0cac4c44efc9dd8a,18,16
in-0cb3a9ea8f5915d3,36,34
in-0d04c334a29fce5e,14,10
in-0d9ad6a53b8cc679,22,13
in-0dbe142cfedfaa67,9,4
in-0e0ee26985256a77,4,4
in-0ea9c6f6de9db7ad,6,2
in-0f0c3c704693d7dd,7,7
in-0f173785d9fd8773,12,5
in-0f2badea0de3b659,12,4
in-0f611c3629d72737,23,8
in-109784cad06eb985,6,5
in-10f9177f1735bf84,2,0
in-1124d05f4d7b7030,4,1
in-1156e0fae0ebf358,26,13
in-11824c05838498d0,21,8
in-11884a6936167f8d,11,4
in-125f25e4fa5c4617,7,4
in-12e82ae0095c776b,13,11
in-12ee18c0ccf2de9b,39,36
in-12f24495d2fe307a,16,3
in-1341be8f3c480747,17,8
in-138ad52c33493235,8,1
in-13b6de6ad9bbd712,50,20
in-144d63886c895c3b,5,4
in-14cd04c151b5c7e9,4,4
in-15b4d78150914a4f,15,8
in-15b87aaf776e407d,5,4
in-1685751ab1e35ff9,14,4
in-16aa80a0bd900d06,21,5
in-16c1d56d77667743,10,6
in-17cf96ddf558545a,35,10
in-17d5f0dcfabda065,13,5
in-18a2e9267972f435,3,3
in-18c4b9431ac19b1d,32,13
in-18fd242c08e375fe,9,2
in-19215677cf8dc2ce,8,4
in-192247b908f587df,14,7
in-1976cdbf24bf385b,13,5
in-19b6422803f19eda,1,1
in-19e887af5100b804,23,9
in-1a3643e649f32a93,7,1
in-1a6b7a24a497eb59,8,2
in-1a762fe717afacbe,10,4
in-1a8db636594a0aa7,5,2
in-1b2cd14890570553,13,6
in-1b609f07dd4c840f,9,4
in-1b69bb7870b74542,26,14
in-1bb06782028caa47,8,0
in-1bbfd815096e1868,51,33
in-1be1feaf29612cc5,4,3
in-1c43457dd6a314a0,7,6
in-1d10b0b5d6dc92b3,14,3
in-1db29962323075bb,11,3
in-1e0c2dba4ae52bff,9,4
in-1e8f958152434fcd,13,4
in-1f4812127e081866,18,5
in-1fe3f6fdf81b9c52,22,9
in-1ff6525ea8403782,23,8
in-2005aceadf3f77c5,18,8
in-201f92bafa5ef9b9,13,12
in-20312bf9da48f162,15,0
in-204d322276e64487,13,7
in-206435f92cb45e18,15,0
in-208283e9e7d14be2,6,2
in-209713b7f9b715dc,35,31
in-20ca907b0c3f5d73,8,8
in-20e3bdd7ce407706,17,1
in-210cf86f2f54c885,2,1
in-212ee17ade84898d,16,8
in-214607b9e2c5e6a2,22,6
in-2151014363e86a4b,4,1
in-215e74c51ca88b8d,17,1
in-216850fe4d9112f7,36,21
in-217b332ff13871d9,17,3
in-21cbc4e21b1b4420,12,0
in-21f7dff5e284e1dd,21,21
in-2241113c8a863d6a,5,4
in-224b5e1e80275bac,8,2
in-22a0b1474c1f2c61,16,13
in-22a3ee172b8e7707,8,0
in-22aa02e809b695bb,32,20
in-233be48f923530ef,10,0
in-242f828205f71e7c,17,1
in-243653205591e2c7,13,6
in-244629d91a1d8a4f,7,4
in-24653339374bb6b9,22,16
in-25c73c1fbed0e73b,11,4
in-25d07a0fab17cbf1,18,3
in-25df87da014b4921,9,0
in-25ecdf2dd4d2e40a,6,2
in-260271dfb94e1cc7,25,10
in-260fe57701afa70d,29,12
in-2680e180bde1252f,22,12
in-26b5e64ecb5e6cb2,9,5
in-26fcda83aa945eae,14,12
in-27bf2ece3dabd644,29,26
in-27d67d7e1c8e0974,4,0
in-27dff232a55f5ab3,17,0
in-2802df10335d552f,5,1
in-28a87be83fee41b2,5,3
