job_id,date_posted,knowledge,confidence_score,confidence_tier,source,sentence_id,sentence_text
in-79b1a44b8766f461,,Master's degree,0.9,Very High,skill_llm_8b_lora_v1,in-79b1a44b8766f461_0005,"OR Master's degree in Engineering, Information Systems, Computer Science, or related field and 5 + years of Systems Engineering or related work experience."
in-79b1a44b8766f461,,Engineering,0.9,Very High,skill_llm_8b_lora_v1,in-79b1a44b8766f461_0005,"OR Master's degree in Engineering, Information Systems, Computer Science, or related field and 5 + years of Systems Engineering or related work experience."
in-79b1a44b8766f461,,Information Systems,0.9,Very High,skill_llm_8b_lora_v1,in-79b1a44b8766f461_0005,"OR Master's degree in Engineering, Information Systems, Computer Science, or related field and 5 + years of Systems Engineering or related work experience."
in-79b1a44b8766f461,,Computer Science,0.9,Very High,skill_llm_8b_lora_v1,in-79b1a44b8766f461_0005,"OR Master's degree in Engineering, Information Systems, Computer Science, or related field and 5 + years of Systems Engineering or related work experience."
in-79b1a44b8766f461,,Systems Engineering,0.9,Very High,skill_llm_8b_lora_v1,in-79b1a44b8766f461_0005,"OR Master's degree in Engineering, Information Systems, Computer Science, or related field and 5 + years of Systems Engineering or related work experience."
in-79b1a44b8766f461,,Engineering,0.9,Very High,skill_llm_8b_lora_v1,in-79b1a44b8766f461_0006,"OR PhD in Engineering, Information Systems, Computer Science, or related field and 4 + years of Systems Engineering or related work experience."
in-79b1a44b8766f461,,Information Systems,0.9,Very High,skill_llm_8b_lora_v1,in-79b1a44b8766f461_0006,"OR PhD in Engineering, Information Systems, Computer Science, or related field and 4 + years of Systems Engineering or related work experience."
in-79b1a44b8766f461,,Computer Science,0.9,Very High,skill_llm_8b_lora_v1,in-79b1a44b8766f461_0006,"OR PhD in Engineering, Information Systems, Computer Science, or related field and 4 + years of Systems Engineering or related work experience."
in-79b1a44b8766f461,,Systems Engineering,0.9,Very High,skill_llm_8b_lora_v1,in-79b1a44b8766f461_0006,"OR PhD in Engineering, Information Systems, Computer Science, or related field and 4 + years of Systems Engineering or related work experience."
in-26b5e64ecb5e6cb2,,Rust,0.9,Very High,skill_llm_8b_lora_v1,in-26b5e64ecb5e6cb2_0004,"We believe that everyone has the right to own and control their data, and we are committed to creating a trusted digital credentials ecosystem that empowers businesses and individuals to securely exchange data and services across borders and industries. About the role: We are in search of a solution -oriented Senior Software Engineer (Backend) with demonstrable experience in Rust, to help guide the development of secure, scalable, and high -performance backend systems for the Affinidi Elements platform."
