Sektor,Indonesian Title,English Translation
Teknologi Informasi dan Komunikasi,Skema Okupasi Pemrogram Junior,Junior Programmer
Teknologi Informasi dan Komunikasi,Skema Okupasi Pemrogram Madya,Middle Programmer
Teknologi Informasi dan Komunikasi,Skema Okupasi Pemrogram Senior,Senior Programmer
Teknologi Informasi dan Komunikasi,Skema Okupasi Pengembang Perangkat Lunak,Software Developer
Teknologi Informasi dan Komunikasi,Skema Okupasi System Analyst,System Analyst
Teknologi Informasi dan Komunikasi,Skema Okupasi Database Administrator,Database Administrator
Teknologi Informasi dan Komunikasi,Skema Okupasi Network Administrator Muda,Junior Network Administrator
Teknologi Informasi dan Komunikasi,Skema Okupasi Network Administrator Madya,Middle Network Administrator
Teknologi Informasi dan Komunikasi,Skema Okupasi Teknisi Instalasi dan Aktivasi,Installation & Activation Technician
Teknologi Informasi dan Komunikasi,Skema Okupasi Junior Data Scientist,Junior Data Scientist
Teknologi Informasi dan Komunikasi,Skema Okupasi Associate Data Scientist,Associate Data Scientist
Teknologi Informasi dan Komunikasi,Skema Okupasi Ilmuwan Data Madya,Associate Data Scientist
Teknologi Informasi dan Komunikasi,Skema Okupasi Insinyur Data Madya,Associate Data Engineer
Teknologi Informasi dan Komunikasi,Skema Okupasi Data Engineer,Data Engineer
Teknologi Informasi dan Komunikasi,Skema Okupasi Pemasaran Digital,Digital Marketing
Teknologi Informasi dan Komunikasi,Skema Okupasi Desainer Grafis Muda,Junior Graphic Designer
Teknologi Informasi dan Komunikasi,Skema Okupasi Multimedia,Multimedia
Teknologi Informasi dan Komunikasi,Skema Okupasi Manajemen Proyek,Project Management
Teknologi Informasi dan Komunikasi,Skema Okupasi Audit Teknologi Informasi,IT Audit
Teknologi Informasi dan Komunikasi,Skema Okupasi Auditor Madya Teknologi Informasi,Middle IT Auditor
Teknologi Informasi dan Komunikasi,Skema Okupasi Rekayasa Jaringan Komputer,Computer Network Engineering
Teknologi Informasi dan Komunikasi,Skema Okupasi Pengelolaan Layanan Teknologi Informasi,IT Service Management
Teknologi Informasi dan Komunikasi,Skema Okupasi Sains Data,Data Science
Teknologi Informasi dan Komunikasi,Skema Okupasi Cyber Security Specialist,Cyber Security Specialist
Teknologi Informasi dan Komunikasi,Skema Okupasi Teknisi Komputer,Computer Technician
Teknologi Informasi dan Komunikasi,Skema Okupasi Aplikasi Perkantoran,Office Applications
Teknologi Informasi dan Komunikasi,Skema Okupasi Data Entry Clerk / Operator,Data Entry Clerk / Operator
Manajemen Sumber Daya Manusia,Skema Okupasi Staf Sumber Daya Manusia,HR Administrative Staff
Manajemen Sumber Daya Manusia,Skema Okupasi Supervisor Sumber Daya Manusia,HR Supervisor
Manajemen Sumber Daya Manusia,Skema Okupasi Manajer Sumber Daya Manusia,HR Manager
Manajemen Sumber Daya Manusia,Skema Okupasi Manajer Hubungan Industrial,Industrial Relations Manager
Manajemen Sumber Daya Manusia,Skema Okupasi Kepala Bagian Rekrutmen dan Seleksi,Head of Recruitment & Selection
Manajemen Sumber Daya Manusia,Skema Okupasi Kepala Bagian Pelatihan dan Pengembangan,Head of Training & Development
Manajemen Sumber Daya Manusia,Skema Okupasi Kepala Bagian Remunerasi,Head of Remuneration
Manajemen Sumber Daya Manusia,Skema Okupasi Analis Remunerasi,Remuneration Analyst
Manajemen Sumber Daya Manusia,Skema Okupasi Analis Perjanjian Kerja dan Kelembagaan Hubungan Industrial,Labor Contract & Industrial Relations Institutional Analyst
Manajemen Sumber Daya Manusia,Skema Okupasi Analis Pencegahan dan Penyelesaian Perselisihan Hubungan Industrial,Industrial Dispute Prevention & Resolution Analyst
Manajemen Sumber Daya Manusia,Skema Okupasi Supervisor Rekrutmen dan Seleksi SDM,HR Recruitment & Selection Supervisor
Manajemen Sumber Daya Manusia,Skema Okupasi Penata Pembuatan Perjanjian Kerja,Labor Contract Drafter (Qualification IV)
Manajemen Sumber Daya Manusia,Skema Okupasi Integrated Talent Management,Integrated Talent Management
Keuangan Perbankan dan Asuransi,Skema Okupasi Direktur Tk 1 BPR,BPR Director Tier 1
Keuangan Perbankan dan Asuransi,Skema Okupasi Direktur Tk 2 BPR,BPR Director Tier 2
Keuangan Perbankan dan Asuransi,Skema Okupasi Komisaris BPR,BPR Commissioner
Keuangan Perbankan dan Asuransi,Skema Okupasi Pejabat Eksekutif BPR,BPR Executive Officer
Keuangan Perbankan dan Asuransi,Skema Okupasi Supervisor BPR,BPR Supervisor
Keuangan Perbankan dan Asuransi,Skema Okupasi Staf BPR,BPR Staff
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Manajemen Risiko Bank Umum Level 1,Commercial Bank Risk Management Level 1
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Manajemen Risiko Bank Umum Level 2,Commercial Bank Risk Management Level 2
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Manajemen Risiko Bank Umum Level 3,Commercial Bank Risk Management Level 3
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Manajemen Risiko Bank Umum Level 4,Commercial Bank Risk Management Level 4
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Manajemen Risiko Bank Umum Level 5,Commercial Bank Risk Management Level 5
Keuangan Perbankan dan Asuransi,Skema Okupasi Treasury Dealer,Treasury Dealer
Keuangan Perbankan dan Asuransi,Skema Okupasi Wealth Management,Wealth Management
Keuangan Perbankan dan Asuransi,Skema Okupasi General Banking,General Banking
Keuangan Perbankan dan Asuransi,Skema Okupasi Compliance (Perbankan),Banking Compliance
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Pemberian Jasa Pelayanan Nasabah,Customer Service Provision
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Pengelolaan Keuangan dan Akuntansi Bank Syariah,Sharia Bank Finance & Accounting Management
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Manajer / Kepala Cabang KSPPS / USPPS,KSPPS / USPPS Manager / Branch Head
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Teknisi Akuntansi Pratama,Junior Accounting Technician
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Teknisi Akuntansi Muda,Middle Accounting Technician
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Teknisi Akuntansi Madya,Senior Accounting Technician
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Teknisi Akuntansi Ahli,Expert Accounting Technician
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Wakil Penjamin Emisi Efek (WPEE),Securities Underwriter Representative
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Wakil Perantara Pedagang Efek (WPPE),Securities Broker-Dealer Representative
Keuangan Perbankan dan Asuransi,Skema Sertifikasi Wakil Manajer Investasi (WMI),Investment Manager Representative
Pariwisata dan Perhotelan,Skema Okupasi Bellboy,Bellboy
Pariwisata dan Perhotelan,Skema Okupasi Receptionist,Receptionist
Pariwisata dan Perhotelan,Skema Okupasi Telephone Operator,Telephone Operator
Pariwisata dan Perhotelan,Skema Okupasi Front Office Supervisor,Front Office Supervisor
Pariwisata dan Perhotelan,Skema Okupasi Public Area Cleaner,Public Area Cleaner
Pariwisata dan Perhotelan,Skema Okupasi Room Attendant,Room Attendant
Pariwisata dan Perhotelan,Skema Okupasi Laundry Attendant,Laundry Attendant
Pariwisata dan Perhotelan,Skema Okupasi Floor Supervisor,Floor Supervisor
Pariwisata dan Perhotelan,Skema Okupasi Waiter,Waiter
Pariwisata dan Perhotelan,Skema Okupasi Bartender,Bartender
Pariwisata dan Perhotelan,Skema Okupasi Head Waiter,Head Waiter
Pariwisata dan Perhotelan,Skema Okupasi Outlet Manager,Outlet Manager
Pariwisata dan Perhotelan,Skema Okupasi Butcher,Butcher
Pariwisata dan Perhotelan,Skema Okupasi Commis Pastry,Commis Pastry
Pariwisata dan Perhotelan,Skema Okupasi Baker,Baker
Pariwisata dan Perhotelan,Skema Okupasi Demi Chef,Demi Chef
Pariwisata dan Perhotelan,Skema Okupasi Chef de Partie,Chef de Partie
Pariwisata dan Perhotelan,Skema Okupasi Executive Chef,Executive Chef
Pariwisata dan Perhotelan,Skema Okupasi Pemandu Ekowisata Muda,Junior Ecotourism Guide
