"Sektor","Indonesian Title","English Translation","Indonesian Description","English Description","Source Type"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Pemrogram","Programmer","Skema sertifikasi okupasi Pemrogram dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 282 Tahun 2016 Bidang Pemrograman. Skema ini mencakup kompetensi memahami spesifikasi program, menggunakan bahasa pemrograman terstruktur dan berorientasi objek, mengembangkan antarmuka pengguna, melakukan debugging, dan mendokumentasikan kode.","The Programmer occupational certification scheme is developed referencing SKKNI Kepmenaker No. 282 of 2016 (Programming Field). It covers competencies in understanding program specifications, using structured and object-oriented programming languages, developing user interfaces, debugging, and code documentation.","Template-based / Kepmenaker 282/2016"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Pemrogram Junior","Junior Programmer","BNSP mengeluarkan skema sertifikasi untuk okupasi Pemrogram Junior yang disahkan pada 8 Agustus 2023 oleh Direktur Jenderal Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi untuk menjamin kompetensi para pemrogram junior. Kemasan kompetensi mengacu pada SKKNI berdasarkan Kepmenaker No. 282 Tahun 2016 Bidang Pemrograman.","BNSP issued the Junior Programmer certification scheme, ratified on 8 August 2023 by the Director General of the Ministry of Education, Culture, Research, and Technology, to guarantee the competency of junior programmers. The competency package refers to SKKNI Kepmenaker No. 282 of 2016 (Programming Field).","Verbatim (Scribd 688757033)"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Pemrogram Madya","Middle Programmer","Skema sertifikasi okupasi Pemrogram Madya dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 282 Tahun 2016 Bidang Pemrograman. Mencakup kompetensi perancangan algoritma menengah, integrasi modul perangkat lunak, code review, dan pemeliharaan aplikasi.","The Middle Programmer occupational certification scheme is developed referencing SKKNI Kepmenaker No. 282 of 2016 (Programming Field). It covers intermediate algorithm design, software module integration, code review, and application maintenance competencies.","Template-based / Kepmenaker 282/2016"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Pemrogram Senior","Senior Programmer","Skema sertifikasi okupasi Pemrogram Senior dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 282 Tahun 2016 Bidang Pemrograman. Mencakup kompetensi arsitektur perangkat lunak, mentoring tim, optimisasi kinerja sistem, dan tata kelola kode tingkat lanjut.","The Senior Programmer occupational certification scheme is developed referencing SKKNI Kepmenaker No. 282 of 2016 (Programming Field). It covers software architecture, team mentoring, system performance optimization, and advanced code governance competencies.","Template-based / Kepmenaker 282/2016"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Pengembang Perangkat Lunak","Software Developer","Skema sertifikasi okupasi Pengembang Perangkat Lunak dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 282 Tahun 2016 Bidang Pemrograman dan Pengembangan Perangkat Lunak. Mencakup kompetensi siklus pengembangan perangkat lunak (SDLC), pengujian, deployment, dan pemeliharaan aplikasi.","The Software Developer occupational certification scheme references SKKNI Kepmenaker No. 282 of 2016. It covers the software development lifecycle (SDLC), testing, deployment, and application maintenance competencies.","Template-based / Kepmenaker 282/2016"
"Teknologi Informasi dan Komunikasi","Skema Okupasi System Analyst","System Analyst","Skema sertifikasi okupasi System Analyst dikembangkan oleh Komite Skema LSP mengacu pada Peta Okupasi Nasional Bidang TIK Tahun 2025 (BPSDM Komdigi). Mencakup kompetensi analisis kebutuhan sistem, pemodelan, dokumentasi sistem, dan validasi solusi teknologi informasi.","The System Analyst occupational certification scheme is developed referencing the National ICT Occupation Map 2025 (BPSDM Komdigi). It covers systems requirements analysis, modeling, system documentation, and IT solution validation competencies.","Template-based / Peta Okupasi TIK 2025"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Database Administrator","Database Administrator","Skema sertifikasi okupasi Database Administrator dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 321 Tahun 2016 Bidang Basis Data. Mencakup kompetensi instalasi dan konfigurasi DBMS, optimisasi query, backup dan recovery, serta keamanan basis data.","The Database Administrator occupational certification scheme references SKKNI Kepmenaker No. 321 of 2016 (Database Field). It covers DBMS installation and configuration, query optimization, backup and recovery, and database security competencies.","Template-based / Kepmenaker 321/2016"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Network Administrator Muda","Junior Network Administrator","Skema sertifikasi okupasi Network Administrator Muda dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 321 Tahun 2016 Bidang Jaringan Komputer. Mencakup kompetensi konfigurasi jaringan dasar, monitoring, troubleshooting, dan keamanan jaringan pada tingkat muda.","The Junior Network Administrator occupational certification scheme references SKKNI Kepmenaker No. 321 of 2016 (Computer Network Field). It covers basic network configuration, monitoring, troubleshooting, and network security competencies at the junior level.","Template-based / Kepmenaker 321/2016"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Network Administrator Madya","Middle Network Administrator","Skema sertifikasi okupasi Network Administrator Madya dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 321 Tahun 2016 Bidang Jaringan Komputer. Mencakup kompetensi perancangan dan pengelolaan infrastruktur jaringan tingkat menengah, termasuk routing, switching, dan keamanan jaringan lanjutan.","The Middle Network Administrator occupational certification scheme references SKKNI Kepmenaker No. 321 of 2016 (Computer Network Field). It covers intermediate network infrastructure design and management, including routing, switching, and advanced network security.","Template-based / Kepmenaker 321/2016"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Teknisi Instalasi dan Aktivasi","Installation & Activation Technician","Skema sertifikasi okupasi Teknisi Instalasi dan Aktivasi dikembangkan oleh Komite Skema LSP mengacu pada SKKNI Bidang TIK Sub-bidang Instalasi dan Layanan. Mencakup kompetensi pemasangan perangkat keras, instalasi perangkat lunak, aktivasi layanan, dan dokumentasi pekerjaan teknis.","The Installation & Activation Technician occupational certification scheme references SKKNI ICT Field – Installation and Services Sub-field. It covers hardware installation, software installation, service activation, and technical work documentation competencies.","Template-based / SKKNI TIK"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Junior Data Scientist","Junior Data Scientist","Skema sertifikasi okupasi Junior Data Scientist dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 299 Tahun 2020 Kategori Informasi dan Komunikasi Bidang Keahlian Artificial Intelligence Sub-Bidang Data Science. Mencakup kompetensi pengumpulan dan pembersihan data, analisis data dasar, serta visualisasi data.","The Junior Data Scientist occupational certification scheme references SKKNI Kepmenaker No. 299 of 2020 (ICT Category – AI / Data Science Sub-field). It covers data collection and cleaning, basic data analysis, and data visualization competencies.","Template-based / Kepmenaker 299/2020"
"Teknologi Informasi dan Komunikasi","Skema Okupasi Associate Data Scientist","Associate Data Scientist","Skema sertifikasi okupasi Associate Data Scientist dikembangkan oleh Komite Skema LSP mengacu pada SKKNI berdasarkan Kepmenaker No. 299 Tahun 2020 Bidang Artificial Intelligence Sub-Bidang Data Science. Mencakup kompetensi pemodelan prediktif, evaluasi model, dan komunikasi hasil analisis data.","The Associate Data Scientist occupational certification scheme references SKKNI Kepmenaker No. 299 of 2020 (AI / Data Science Sub-field). It covers predictive modeling, model evaluation, and data analysis results communication competencies.","Template-based / Kepmenaker 299/2020"
