spektrum_code,bidang_name,primary_domain_ids,fallback_domain_ids,notes
4.1.1,Teknologi Informasi,WEF01;ONET01;WEF04;ESCO01,WEF07;ONET05;MCK04,Software engineering; default for RPL
4.1.2,Teknologi Informasi,ONET04;WEF01;WEF07,WEF08;ONET03;MCK04,Game development; default for Pengembangan Gim
4.1.3,Teknologi Informasi,WEF04;ONET02;WEF03;ESCO02,ONET01;WEF02;MCK01,Sistem Informasi/Jaringan/Aplikasi
4.2.1,Teknologi Informasi,ONET02;WEF04;WEF03,WEF08;ONET01;ESCO01,Teknik Komputer dan Jaringan
4.3.1,Teknologi Informasi,WEF03;WEF01;ONET02,WEF04;ESCO01;MCK04,Siber dan Jaringan Komputer
8.3.3,Bisnis dan Manajemen,ESCO01;ESCO02;MCK02;MCK03,WEF05;MCK04;MCK05,Akuntansi dan Keuangan
1.1.1,Teknologi Konstruksi dan Bangunan,WEF06;MCK04,DEC01;MCK02,Construction
2.1.1,Teknologi Manufaktur dan Rekayasa,MCK01;MCK04,WEF06;MCK02,Manufacturing
5.1.1,Kesehatan dan Pekerjaan Sosial,MCK03;MCK02,WEF08;MCK05,Health
6.1.1,Agribisnis dan Agriteknologi,WEF06;MCK04,MCK02;MCK05,Agribusiness
7.1.1,Kemaritiman,WEF06;MCK04,WEF08;MCK02,Maritime
9.1.1,Pariwisata,MCK02;MCK03,WEF05;MCK05,Tourism
10.1.1,Seni dan Ekonomi Kreatif,ONET03;WEF05,WEF08;MCK04,Creative economy
*,All,WEF01;WEF02;WEF03;WEF04;WEF07;WEF08;ONET01;ONET02;ONET03;ONET04;ESCO01,DEC01;DEC02;DEC03,Fallback when Spektrum unknown
