review_id,job_id,skill
skill_00fbd149506e,,
skill_019fb2fced78,,
skill_01aae7222f55,,
skill_0210450f41f2,,
skill_02349e758465,,
skill_024d392d3d8e,,
skill_0273955abb08,,
skill_030ef83f8ffd,,
skill_0351fd73e2c2,,
skill_03b2b2bf8e0b,,
skill_03cc07fb93f9,,
skill_042963ae9ba4,,
skill_044bba7109cf,,
skill_051d5cee5642,,
skill_052ac9c8f8b9,,
skill_052f6faacba4,,
skill_05967b7cc0ff,,
skill_06a644e7db07,,
skill_06c50c8a5680,,
skill_06d548b66076,,
skill_079a3fc0cb0e,,
skill_07d7a8389a82,,
skill_07eef6e57fd5,,
skill_08ac8d9b2263,,
skill_08cb3e663798,,
skill_092ef23cdcd1,,
skill_0930d6a16bf3,,
skill_09341884ece0,,
skill_0960ab92fb1a,,
skill_09f644aadf51,,
skill_0b3bc1f8c66f,,
skill_0b47307945db,,
skill_0b896c0f372a,,
skill_0be39f08320d,,
skill_0c55247125be,,
skill_0cd3e7f149c9,,
skill_0ce642cd7f32,,
skill_0ceed34da26b,,
skill_0d18c2194f2a,,
skill_0d3cd7ab67a8,,
skill_0d7336a66e83,,
skill_0d9d54217143,,
skill_0da26b950049,,
skill_0e65efc51581,,
skill_0e9460c5aebf,,
skill_0ee9e7f4c211,,
skill_0eef20f6b72c,,
skill_0fc648d5787e,,
skill_105fbf6c8981,,
skill_106b7260118b,,
skill_10709b9dfb60,,
skill_10edef60904b,,
skill_113f294f8416,,
skill_114d931d9f6c,,
skill_116b7ec8710d,,
skill_116ece4026b8,,
skill_11b98d139409,,
skill_11d0bfef21eb,,
skill_11ed84725704,,
skill_123c6af607c3,,
skill_126d56918722,,
skill_129bf799557a,,
skill_13ef3f953a57,,
skill_145911670117,,
skill_1474784ded14,,
skill_148f71a8afad,,
skill_14fe458a411c,,
skill_152175a9bdc1,,
skill_152efc16c946,,
skill_152fc7ac5fe4,,
skill_15b798b80459,,
skill_15c1290b096c,,
skill_15c1cfd6068a,,
skill_1680e995bc79,,
skill_16a6d4cb35a0,,
skill_16d73f82391e,,
skill_1747a8a734fc,,
skill_178e2f6b4588,,
skill_1799198cc08c,,
skill_18a1a0f8c422,,
skill_18b5253d15e2,,
skill_19073c34abf0,,
skill_192873be52a9,,
skill_19cf2344c97d,,
skill_1a7d63a8dfd1,,
skill_1ac653a816ab,,
skill_1b1184d75769,,
skill_1becafbb050a,,
skill_1c254d1b6a26,,
skill_1c3fab7db08c,,
skill_1ce3131d77b4,,
skill_1d1fbdf4bc3c,,
skill_1df489bbeee3,,
skill_1e2b508b84d4,in-ee0deef20dee727b,monitor environmental best practices
skill_1e316e3cd189,,
skill_1e7f1df34903,,
skill_1eaed2e207c9,,
skill_1f29871a02fe,,
skill_1f6c25a1d0d8,,
skill_1f7f2d0e6434,,
skill_1f9fb30b5cf4,,
skill_1fcb1566b952,,
skill_204a6b7095f4,,
skill_204b627cac94,,
skill_206d238a53a6,,
skill_209501574b35,,
skill_20a19bb5bd98,,
skill_20ccdab6fe32,,
skill_20cdf93e4251,,
skill_20e62d5a549f,,
