job_id,date_posted,knowledge,confidence_score,confidence_tier,source,job_date,job_year,job_month
in-02ef051e5141ce4b,2025-12-03,causal inference,0.75,Medium High,LLM,2025-12-03,2025,2025-12
in-02ef051e5141ce4b,2025-12-03,macroeconomics,0.75,Medium High,LLM,2025-12-03,2025,2025-12
in-02ef051e5141ce4b,2025-12-03,statistical methods,0.75,Medium High,LLM,2025-12-03,2025,2025-12
in-02ef051e5141ce4b,2025-12-03,data products,0.75,Medium High,LLM,2025-12-03,2025,2025-12
in-018a8a6c4578b687,2026-03-10,SAP,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-018a8a6c4578b687,2026-03-10,enterprise software,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-018a8a6c4578b687,2026-03-10,platform,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-018a8a6c4578b687,2026-03-10,PaaS,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-06b5e96976a3f626,2026-03-11,financial policies,0.75,Medium High,LLM,2026-03-11,2026,2026-03
in-06b5e96976a3f626,2026-03-11,Protection of Privacy Act (Alberta),0.75,Medium High,LLM,2026-03-11,2026,2026-03
in-06b5e96976a3f626,2026-03-11,Access to Information Act,0.75,Medium High,LLM,2026-03-11,2026,2026-03
in-06b5e96976a3f626,2026-03-11,financial reporting,0.75,Medium High,LLM,2026-03-11,2026,2026-03
in-07094449f509827e,2026-03-10,production technology,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-07094449f509827e,2026-03-10,cameras,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-07094449f509827e,2026-03-10,microphones,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-07094449f509827e,2026-03-10,lighting,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-07094449f509827e,2026-03-10,production software,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-07094449f509827e,2026-03-10,studio,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-07094449f509827e,2026-03-10,auditorium,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-07094449f509827e,2026-03-10,podcast environments,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-07094449f509827e,2026-03-10,video technology,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-07094449f509827e,2026-03-10,studio equipment,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-07094449f509827e,2026-03-10,production systems,0.75,Medium High,LLM,2026-03-10,2026,2026-03
in-0203fddefc4a7b12,2026-02-27,Amazon Interactive Video Service (Amazon IVS),0.75,Medium High,LLM,2026-02-27,2026,2026-02
in-0203fddefc4a7b12,2026-02-27,AWS,0.75,Medium High,LLM,2026-02-27,2026,2026-02
in-0203fddefc4a7b12,2026-02-27,live streaming service,0.75,Medium High,LLM,2026-02-27,2026,2026-02
in-0203fddefc4a7b12,2026-02-27,video streaming technologies,0.75,Medium High,LLM,2026-02-27,2026,2026-02
in-0203fddefc4a7b12,2026-02-27,APIs,0.75,Medium High,LLM,2026-02-27,2026,2026-02
in-0203fddefc4a7b12,2026-02-27,SDKs,0.75,Medium High,LLM,2026-02-27,2026,2026-02
in-0203fddefc4a7b12,2026-02-27,Twitch,0.75,Medium High,LLM,2026-02-27,2026,2026-02
in-0203fddefc4a7b12,2026-02-27,gaming,0.75,Medium High,LLM,2026-02-27,2026,2026-02
in-0203fddefc4a7b12,2026-02-27,social,0.75,Medium High,LLM,2026-02-27,2026,2026-02
in-0203fddefc4a7b12,2026-02-27,live commerce,0.75,Medium High,LLM,2026-02-27,2026,2026-02
in-0203fddefc4a7b12,2026-02-27,sports,0.75,Medium High,LLM,2026-02-27,2026,2026-02
in-0203fddefc4a7b12,2026-02-27,entertainment,0.75,Medium High,LLM,2026-02-27,2026,2026-02
in-090a862bf2348484,2026-03-08,data analysis,0.75,Medium High,LLM,2026-03-08,2026,2026-03
in-090a862bf2348484,2026-03-08,business intelligence,0.75,Medium High,LLM,2026-03-08,2026,2026-03
in-04248886f0c9f962,2026-03-09,STIG hardening process,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,RMF guidance,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,DoD Secret clearance,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,CompTIA Security+ CE,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,DoD 8570 IAT Level II certification,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,cybersecurity,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,system administration,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,ACAS,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,Tenable,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,DISA STIGs,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,vulnerability risk levels,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,POA&M remediation strategies,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,NIST SP 800-53,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,RMF compliance,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,Air Force cybersecurity policy (AFMAN 17-130),0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,USAF,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,DISA,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,DoD mission systems,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,EvaluateSTIG,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,StigViewer,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,OpenSCAP,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,Nessus,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,CCRI/CORA preparation,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,vulnerability remediation campaigns,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,automation tools/scripts,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,PowerShell,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,Nessus APIs,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,Tenable SecurityCenter,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,Nessus (ACAS),0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,classified environments,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,unclassified environments,0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-04248886f0c9f962,2026-03-09,Security Technical Implementation Guides (STIGs),0.75,Medium High,LLM,2026-03-09,2026,2026-03
in-0e980950f025d235,2025-08-21,content systems,0.75,Medium High,LLM,2025-08-21,2025,2025-08
in-0e980950f025d235,2025-08-21,e-commerce platform,0.75,Medium High,LLM,2025-08-21,2025,2025-08
in-0e980950f025d235,2025-08-21,product development,0.75,Medium High,LLM,2025-08-21,2025,2025-08
in-0a7b6c95f2d71548,2026-03-02,CNC machining,0.75,Medium High,LLM,2026-03-02,2026,2026-03
in-0a7b6c95f2d71548,2026-03-02,Haas equipment,0.75,Medium High,LLM,2026-03-02,2026,2026-03
in-0250e3c3a534c646,2026-02-12,Database,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,SQL,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,Terraform,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,AWS parameter groups,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,replication lag,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,infrastructure,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,automation scripts,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,indexing,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,schema design,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,security configurations,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,observability,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,platform,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,self-service tooling,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-0250e3c3a534c646,2026-02-12,declarative interfaces,0.75,Medium High,LLM,2026-02-12,2026,2026-02
in-105cf9739214f450,2026-03-06,machine learning,0.75,Medium High,LLM,2026-03-06,2026,2026-03
in-105cf9739214f450,2026-03-06,agent-based architectures,0.75,Medium High,LLM,2026-03-06,2026,2026-03
in-105cf9739214f450,2026-03-06,AI agents,0.75,Medium High,LLM,2026-03-06,2026,2026-03
in-105cf9739214f450,2026-03-06,decision-support systems,0.75,Medium High,LLM,2026-03-06,2026,2026-03
in-120cae709fd91b6b,2025-09-30,BWOF,0.75,Medium High,LLM,2025-09-30,2025,2025-09
