job_id,date_posted,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement
in-02ef051e5141ce4b,2025-12-03,use causal inference methods,Hard,Analyze,0.592,Medium Low,LLM,0.79,0.9
in-02ef051e5141ce4b,2025-12-03,leveraging AI to generate insights,Hard,Create,0.67,Medium,LLM,0.78,0.9
in-02ef051e5141ce4b,2025-12-03,lead forecasting efforts,Hard,Apply,0.57,Medium Low,LLM,0.82,0.9
in-02ef051e5141ce4b,2025-12-03,build tools that aggregate and evaluate forecasts,Hard,Create,0.67,Medium,LLM,0.78,0.9
in-02ef051e5141ce4b,2025-12-03,apply advanced statistical methods,Hard,Apply,0.677,Medium,LLM,0.83,0.9
in-02ef051e5141ce4b,2025-12-03,scope and build data products,Hard,Create,0.665,Medium,LLM,0.75,0.9
in-018a8a6c4578b687,2026-03-10,lead solution-architecture initiatives,Hard,Create,0.632,Medium,LLM,0.9,0.9
in-018a8a6c4578b687,2026-03-10,support the entire sales cycle,Soft,N/A,0.603,Medium,LLM,0.76,0.9
in-018a8a6c4578b687,2026-03-10,identify sales opportunities,Soft,N/A,0.616,Medium,LLM,0.86,0.9
in-018a8a6c4578b687,2026-03-10,provide post-sale customer support,Soft,N/A,0.612,Medium,LLM,0.83,0.9
in-018a8a6c4578b687,2026-03-10,assist customers in expanding SAP footprint,Hard,Apply,0.591,Medium Low,LLM,0.79,0.9
in-06b5e96976a3f626,2026-03-11,provide information on financial policies,Hard,Apply,0.57,Medium Low,LLM,0.82,0.9
in-06b5e96976a3f626,2026-03-11,ensure smooth running of department,Soft,N/A,0.634,Medium,LLM,0.79,0.9
in-06b5e96976a3f626,2026-03-11,administer candidate profiles,Hard,Analyze,0.602,Medium,LLM,0.87,0.9
in-06b5e96976a3f626,2026-03-11,evaluate eligibility for positions,Hard,Evaluate,0.677,Medium,LLM,0.83,0.9
in-06b5e96976a3f626,2026-03-11,communicate about applications,Soft,N/A,0.647,Medium,LLM,0.88,0.9
in-07094449f509827e,2026-03-10,solve technical problems,Hard,Apply,0.704,Medium High,LLM,0.82,0.9
in-07094449f509827e,2026-03-10,build systems that run smoothly,Hard,Create,0.696,Medium,LLM,0.76,0.9
in-07094449f509827e,2026-03-10,ensure cameras operate flawlessly,Hard,Evaluate,0.622,Medium,LLM,0.83,0.9
in-07094449f509827e,2026-03-10,ensure microphones operate flawlessly,Hard,Evaluate,0.626,Medium,LLM,0.86,0.9
in-07094449f509827e,2026-03-10,ensure lighting operates flawlessly,Hard,Evaluate,0.624,Medium,LLM,0.84,0.9
in-07094449f509827e,2026-03-10,ensure production software operates flawlessly,Hard,Evaluate,0.626,Medium,LLM,0.85,0.9
in-0203fddefc4a7b12,2026-02-27,identify opportunities,Soft,N/A,0.621,Medium,LLM,0.9,0.9
in-0203fddefc4a7b12,2026-02-27,execute on opportunities,Soft,N/A,0.611,Medium,LLM,0.82,0.9
in-0203fddefc4a7b12,2026-02-27,innovate value,Soft,N/A,0.608,Medium,LLM,0.8,0.9
in-0203fddefc4a7b12,2026-02-27,deliver value,Soft,N/A,0.606,Medium,LLM,0.78,0.9
in-0203fddefc4a7b12,2026-02-27,partner with engineers,Soft,N/A,0.608,Medium,LLM,0.8,0.9
in-0203fddefc4a7b12,2026-02-27,partner with customers,Soft,N/A,0.608,Medium,LLM,0.8,0.9
in-0203fddefc4a7b12,2026-02-27,work with developers,Soft,N/A,0.606,Medium,LLM,0.78,0.9
in-0203fddefc4a7b12,2026-02-27,understand developer needs,Soft,N/A,0.613,Medium,LLM,0.84,0.9
in-0203fddefc4a7b12,2026-02-27,build products,Hard,Create,0.701,Medium High,LLM,0.8,0.9
in-0203fddefc4a7b12,2026-02-27,solve business problems,Soft,N/A,0.61,Medium,LLM,0.81,0.9
in-0203fddefc4a7b12,2026-02-27,own product strategy,Soft,N/A,0.606,Medium,LLM,0.78,0.9
in-0203fddefc4a7b12,2026-02-27,own business strategy,Soft,N/A,0.607,Medium,LLM,0.79,0.9
in-0203fddefc4a7b12,2026-02-27,conduct customer discovery,Soft,N/A,0.613,Medium,LLM,0.84,0.9
in-0203fddefc4a7b12,2026-02-27,execute go-to-market,Soft,N/A,0.619,Medium,LLM,0.89,0.9
in-090a862bf2348484,2026-03-08,collect complex datasets,Hard,Apply,0.57,Medium Low,LLM,0.82,0.9
in-090a862bf2348484,2026-03-08,analyse complex datasets,Hard,Apply,0.57,Medium Low,LLM,0.82,0.9
in-090a862bf2348484,2026-03-08,interpret complex datasets,Hard,Understand,0.678,Medium,LLM,0.84,0.9
in-090a862bf2348484,2026-03-08,transform raw data into meaningful insights,Hard,Apply,0.566,Medium Low,LLM,0.79,0.9
in-090a862bf2348484,2026-03-08,create visual reports,Hard,Create,0.671,Medium,LLM,0.79,0.9
in-090a862bf2348484,2026-03-08,work closely with cross-functional teams,Soft,N/A,0.666,Medium,LLM,0.82,0.9
in-090a862bf2348484,2026-03-08,help organisations make informed business decisions,Soft,N/A,0.64,Medium,LLM,0.83,0.9
in-04248886f0c9f962,2026-03-09,act as expert for system admins and engineers,Soft,N/A,0.601,Medium,LLM,0.74,0.9
in-04248886f0c9f962,2026-03-09,support tracking of remediation actions,Hard,Evaluate,0.703,Medium High,LLM,0.81,0.9
in-04248886f0c9f962,2026-03-09,support tracking of POA&Ms,Hard,Evaluate,0.698,Medium,LLM,0.77,0.9
in-04248886f0c9f962,2026-03-09,support tracking of exceptions,Hard,Evaluate,0.702,Medium High,LLM,0.8,0.9
in-04248886f0c9f962,2026-03-09,interpret technical vulnerability data,Hard,Understand,0.711,Medium High,LLM,0.86,0.9
in-04248886f0c9f962,2026-03-09,communicate risk-based recommendations,Soft,N/A,0.621,Medium,LLM,0.9,0.9
in-04248886f0c9f962,2026-03-09,assist with scheduling vulnerability scans,Hard,Apply,0.596,Medium Low,LLM,0.83,0.9
in-04248886f0c9f962,2026-03-09,assist with running vulnerability scans,Hard,Apply,0.62,Medium,LLM,0.81,0.9
in-04248886f0c9f962,2026-03-09,review scan results,Hard,Evaluate,0.697,Medium,LLM,0.77,0.9
in-04248886f0c9f962,2026-03-09,identify potential CAT I/II/III findings,Hard,Analyze,0.704,Medium High,LLM,0.82,0.9
in-04248886f0c9f962,2026-03-09,identify false positives,Hard,Analyze,0.704,Medium High,LLM,0.82,0.9
in-04248886f0c9f962,2026-03-09,identify basic configuration issues,Hard,Analyze,0.707,Medium High,LLM,0.84,0.9
in-04248886f0c9f962,2026-03-09,identify hardening requirements,Hard,Analyze,0.715,Medium High,LLM,0.89,0.9
in-04248886f0c9f962,2026-03-09,apply Security Technical Implementation Guides (STIGs),Hard,Apply,0.708,Medium High,LLM,0.84,0.9
in-0e980950f025d235,2025-08-21,design content systems,Hard,Create,0.702,Medium High,LLM,0.8,0.9
in-0e980950f025d235,2025-08-21,embed expertise into product development,Hard,Create,0.621,Medium,LLM,0.82,0.9
in-0e980950f025d235,2025-08-21,lead a team,Soft,N/A,0.648,Medium,LLM,0.69,0.9
in-0a7b6c95f2d71548,2026-03-02,program CNC machining operations,Hard,Create,0.675,Medium,LLM,0.82,0.9
in-0a7b6c95f2d71548,2026-03-02,set up CNC machining operations,Hard,Apply,0.563,Medium Low,LLM,0.76,0.9
in-0a7b6c95f2d71548,2026-03-02,optimize CNC machining operations,Hard,Evaluate,0.676,Medium,LLM,0.83,0.9
in-0a7b6c95f2d71548,2026-03-02,produce high-quality components,Hard,Create,0.685,Medium,LLM,0.89,0.9
in-0a7b6c95f2d71548,2026-03-02,meet engineering specifications,Hard,Create,0.604,Medium,LLM,0.89,0.9
in-0a7b6c95f2d71548,2026-03-02,meet production requirements,Hard,Apply,0.575,Medium Low,LLM,0.86,0.9
in-0250e3c3a534c646,2026-02-12,design and develop internal platform capabilities,Hard,Create,0.704,Medium High,LLM,0.82,0.9
in-0250e3c3a534c646,2026-02-12,provision and manage data resources,Hard,Apply,0.641,Medium,LLM,0.79,0.9
in-0250e3c3a534c646,2026-02-12,turn complex infrastructure requirements into simple interfaces,Hard,Analyze,0.625,Medium,LLM,0.84,0.9
in-0250e3c3a534c646,2026-02-12,write automation for best practices,Hard,Create,0.7,Medium,LLM,0.79,0.9
in-0250e3c3a534c646,2026-02-12,apply best practices for indexing,Hard,Apply,0.698,Medium,LLM,0.77,0.9
in-0250e3c3a534c646,2026-02-12,apply best practices for schema design,Hard,Create,0.696,Medium,LLM,0.77,0.9
in-0250e3c3a534c646,2026-02-12,apply best practices for security configurations,Hard,Apply,0.704,Medium High,LLM,0.81,0.9
in-0250e3c3a534c646,2026-02-12,create out-of-the-box observability,Hard,Create,0.716,Medium High,LLM,0.9,0.9
in-0250e3c3a534c646,2026-02-12,collaborate in a fast-moving environment,Soft,N/A,0.61,Medium,LLM,0.82,0.9
in-0250e3c3a534c646,2026-02-12,build trust and impact,Soft,N/A,0.601,Medium,LLM,0.74,0.9
in-0250e3c3a534c646,2026-02-12,enable and multiply force,Soft,N/A,0.604,Medium,LLM,0.77,0.9
in-0250e3c3a534c646,2026-02-12,be mindful of reliability,Soft,N/A,0.604,Medium,LLM,0.77,0.9
in-0250e3c3a534c646,2026-02-12,be mindful of scalability,Soft,N/A,0.604,Medium,LLM,0.77,0.9
in-0250e3c3a534c646,2026-02-12,codify deep database expertise,Hard,Apply,0.611,Medium,LLM,0.95,0.9
in-0250e3c3a534c646,2026-02-12,make database management effortless,Hard,Apply,0.59,Medium Low,LLM,0.99,0.9
in-0250e3c3a534c646,2026-02-12,make observability effortless,Hard,Apply,0.601,Medium,LLM,0.87,0.9
in-0250e3c3a534c646,2026-02-12,build golden paths for developers,Hard,Create,0.698,Medium,LLM,0.77,0.9
in-0250e3c3a534c646,2026-02-12,allow developers to spin up databases,Hard,Create,0.614,Medium,LLM,0.76,0.9
in-0250e3c3a534c646,2026-02-12,allow developers to scale databases,Hard,Create,0.617,Medium,LLM,0.79,0.9
in-0250e3c3a534c646,2026-02-12,allow developers to monitor databases,Hard,Create,0.619,Medium,LLM,0.8,0.9
in-0250e3c3a534c646,2026-02-12,ensure safety is baked in by default,Hard,Analyze,0.691,Medium,LLM,0.73,0.9
in-0250e3c3a534c646,2026-02-12,ensure security is baked in by default,Hard,Analyze,0.692,Medium,LLM,0.74,0.9
in-0250e3c3a534c646,2026-02-12,ensure best practices are baked in by default,Hard,Analyze,0.693,Medium,LLM,0.74,0.9
in-0250e3c3a534c646,2026-02-12,abstract the complexity of the data layer,Hard,Apply,0.575,Medium Low,LLM,0.66,0.9
in-0250e3c3a534c646,2026-02-12,handle complexity for developers,Hard,Create,0.621,Medium,LLM,0.82,0.9
in-0250e3c3a534c646,2026-02-12,shift left database expertise,Hard,Apply,0.61,Medium,LLM,0.95,0.9
in-0250e3c3a534c646,2026-02-12,embed knowledge into code,Hard,Apply,0.696,Medium,LLM,0.77,0.9
in-0250e3c3a534c646,2026-02-12,democratize observability,Hard,Apply,0.605,Medium,LLM,0.9,0.9
in-105cf9739214f450,2026-03-06,apply machine learning to asset-intensive environments,Hard,Apply,0.679,Medium,LLM,0.84,0.9
in-105cf9739214f450,2026-03-06,apply AI to asset-intensive environments,Hard,Apply,0.675,Medium,LLM,0.82,0.9
in-105cf9739214f450,2026-03-06,apply agent-based architectures to asset-intensive environments,Hard,Create,0.604,Medium,LLM,0.89,0.9
in-105cf9739214f450,2026-03-06,translate complex operational challenges into production-ready AI systems,Hard,Understand,0.679,Medium,LLM,0.85,0.9
in-105cf9739214f450,2026-03-06,design advanced artificial intelligence solutions,Hard,Create,0.682,Medium,LLM,0.87,0.9
in-105cf9739214f450,2026-03-06,build advanced artificial intelligence solutions,Hard,Create,0.681,Medium,LLM,0.86,0.9
in-105cf9739214f450,2026-03-06,operate advanced artificial intelligence solutions,Hard,Evaluate,0.603,Medium,LLM,0.88,0.9
in-105cf9739214f450,2026-03-06,work closely with business stakeholders,Soft,N/A,0.637,Medium,LLM,0.81,0.9
in-105cf9739214f450,2026-03-06,work closely with data scientists,Soft,N/A,0.632,Medium,LLM,0.77,0.9
in-105cf9739214f450,2026-03-06,work closely with product teams,Soft,N/A,0.658,Medium,LLM,0.76,0.9
in-120cae709fd91b6b,2025-09-30,manage scheduling,Soft,N/A,0.613,Medium,LLM,0.84,0.9
in-120cae709fd91b6b,2025-09-30,maintain internal management platform,Soft,N/A,0.615,Medium,LLM,0.86,0.9
in-120cae709fd91b6b,2025-09-30,process day-to-day delivery,Hard,Apply,0.573,Medium Low,LLM,0.85,0.9
in-120cae709fd91b6b,2025-09-30,make a positive impact,Soft,N/A,0.628,Medium,LLM,0.74,0.9
in-10c22ca2ab379104,2026-03-06,support product owner,Soft,N/A,0.607,Medium,LLM,0.79,0.9
in-10c22ca2ab379104,2026-03-06,understand business needs,Soft,N/A,0.612,Medium,LLM,0.83,0.9
in-10c22ca2ab379104,2026-03-06,analyze solution options,Hard,Analyze,0.704,Medium High,LLM,0.82,0.9
in-10c22ca2ab379104,2026-03-06,plan for the future,Soft,N/A,0.598,Medium Low,LLM,0.72,0.9
in-10c22ca2ab379104,2026-03-06,execute business strategy,Soft,N/A,0.612,Medium,LLM,0.83,0.9
in-1021728769a1b1b3,2026-02-24,drive impactful financial insights,Hard,Apply,0.571,Medium Low,LLM,0.83,0.9
in-1021728769a1b1b3,2026-02-24,support strategic decision-making,Hard,Evaluate,0.686,Medium,LLM,0.9,0.9
in-1021728769a1b1b3,2026-02-24,present directly to senior leadership,Soft,N/A,0.636,Medium,LLM,0.8,0.9
in-1021728769a1b1b3,2026-02-24,contribute to process improvements,Hard,Create,0.597,Medium Low,LLM,0.83,0.9
in-1021728769a1b1b3,2026-02-24,shape the future of financial planning,Hard,Create,0.563,Medium Low,LLM,0.77,0.9
in-1021728769a1b1b3,2026-02-24,collaborate cross-functionally,Soft,N/A,0.649,Medium,LLM,0.9,0.9
in-1021728769a1b1b3,2026-02-24,build customized reporting tools,Hard,Create,0.675,Medium,LLM,0.82,0.9
in-1021728769a1b1b3,2026-02-24,build financial data models,Hard,Create,0.67,Medium,LLM,0.78,0.9
in-1021728769a1b1b3,2026-02-24,influence high-level strategies,Soft,N/A,0.648,Medium,LLM,0.89,0.9
in-0fcfe59aff7d7b19,2025-05-10,provide input into development and implementation of Machine Learning technology,Hard,Create,0.621,Medium,LLM,0.81,0.9
in-0fcfe59aff7d7b19,2025-05-10,oversee all aspects of mineral resource evaluation,Hard,Apply,0.542,Medium Low,LLM,0.79,0.9
in-0fcfe59aff7d7b19,2025-05-10,audit data analysis,Hard,Analyze,0.697,Medium,LLM,0.77,0.9
in-0fcfe59aff7d7b19,2025-05-10,audit resource block models,Hard,Create,0.616,Medium,LLM,0.78,0.9
in-0fcfe59aff7d7b19,2025-05-10,audit geometallurgical block models,Hard,Create,0.624,Medium,LLM,0.84,0.9
in-0fcfe59aff7d7b19,2025-05-10,ensure quality control,Hard,Analyze,0.702,Medium High,LLM,0.8,0.9
in-0fcfe59aff7d7b19,2025-05-10,evaluate clients existing Kriging models,Hard,Create,0.621,Medium,LLM,0.82,0.9
in-0fcfe59aff7d7b19,2025-05-10,evaluate Stratum models,Hard,Create,0.62,Medium,LLM,0.81,0.9
in-0fcfe59aff7d7b19,2025-05-10,liaise with Business Development team,Soft,N/A,0.663,Medium,LLM,0.8,0.9
in-0fcfe59aff7d7b19,2025-05-10,determine how technology can add value to a client’s mining operation,Hard,Evaluate,0.696,Medium,LLM,0.76,0.9
in-0fcfe59aff7d7b19,2025-05-10,"collaborate closely with co-founders, Geologist and Lead Metallurgist",Soft,N/A,0.612,Medium,LLM,0.83,0.9
in-0fcfe59aff7d7b19,2025-05-10,ensure Stratum’s goals are aligned,Soft,N/A,0.606,Medium,LLM,0.78,0.9
in-0fcfe59aff7d7b19,2025-05-10,work in remote mine sites with significant diversity,Soft,N/A,0.604,Medium,LLM,0.77,0.9
in-0fcfe59aff7d7b19,2025-05-10,travel up to 20% of the time,Soft,N/A,0.595,Medium Low,LLM,0.69,0.9
in-1291ef0e4f87819c,2026-03-06,drive success of developer experience program,Soft,N/A,0.636,Medium,LLM,0.8,0.9
in-1291ef0e4f87819c,2026-03-06,work alongside teams,Soft,N/A,0.661,Medium,LLM,0.78,0.9
in-1291ef0e4f87819c,2026-03-06,push boundaries,Soft,N/A,0.637,Medium,LLM,0.81,0.9
in-1291ef0e4f87819c,2026-03-06,build with speed and intensity,Soft,N/A,0.63,Medium,LLM,0.76,0.9
in-1291ef0e4f87819c,2026-03-06,deliver value to customers,Soft,N/A,0.632,Medium,LLM,0.77,0.9
in-1291ef0e4f87819c,2026-03-06,build developer experience,Hard,Create,0.678,Medium,LLM,0.84,0.9
in-1291ef0e4f87819c,2026-03-06,innovate CI/CD pipelines,Hard,Create,0.675,Medium,LLM,0.82,0.9
in-1291ef0e4f87819c,2026-03-06,operate CI/CD pipelines,Hard,Evaluate,0.594,Medium Low,LLM,0.81,0.9
in-1291ef0e4f87819c,2026-03-06,scale CI/CD pipelines,Hard,Apply,0.566,Medium Low,LLM,0.79,0.9
