cluster_id,stream,item_type,item_text,sentence_id,extractor_source,confidence
cluster_h0000,hard_plus_knowledge,skill_'Hard,ensure regulatory compliance,in-bc0aa6df2d805b7b_0017,LLM,0.710
cluster_h0000,hard_plus_knowledge,skill_'Hard,ensure regulatory compliance,in-ee0deef20dee727b_0002,LLM,0.710
cluster_h0000,hard_plus_knowledge,knowledge,compliance,in-75f30913de1b7459_0007,LLM,0.750
cluster_h0000,hard_plus_knowledge,knowledge,compliance,in-fb45f01ebbc2a223_0039,LLM,0.750
cluster_h0000,hard_plus_knowledge,knowledge,regulatory compliance,in-bc0aa6df2d805b7b_0022,LLM,0.750
cluster_h0000,hard_plus_knowledge,knowledge,regulatory compliance,in-ee0deef20dee727b_0017,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,financial reporting,in-06b5e96976a3f626_0008,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,financial reporting,in-b580b7c014d5ef12_0024,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,e-commerce platform,in-0e980950f025d235_0004,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,E-commerce platform,in-219553aa7e342a4a_0009,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,Commerce,in-1021728769a1b1b3_0012,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,commerce,in-30af647e83a32e8c_0013,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,Finance,in-1021728769a1b1b3_0015,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,Finance,in-871bae54762204ea_0011,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,Finance,in-a77e7fdadad1bd31_0018,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,financial planning,in-1021728769a1b1b3_0017,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,Financial Planning,in-a77e7fdadad1bd31_0019,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,Retail,in-16914020afc5dd69_0020,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,retail,in-34c6520c08d55db7_0010,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,inventory management,in-189e4607c218da31_0029,LLM,0.750
cluster_h0001,hard_plus_knowledge,knowledge,inventory management,in-ded3a3347d3bcae7_0039,LLM,0.750
