job_id,date_posted,total_components,covered_components,coverage_percentage,skill_coverage_pct,knowledge_coverage_pct,avg_skill_confidence,avg_knowledge_confidence,missing_components_count
in-02ef051e5141ce4b,2025-12-03,19,4,0.06143422581757091,0.03450840210215709,0.038060668267701804,0.6405745059085715,0.75,15
in-018a8a6c4578b687,2026-03-10,19,3,0.05966800953212538,0.0,0.05966800953212538,0.6107513241600001,0.75,16
in-06c523ff1cf86edd,2026-02-18,19,0,0.0,0.0,0.0,0.0,0.0,19
in-06b5e96976a3f626,2026-03-11,19,1,0.020174670846838706,0.0,0.020174670846838706,0.6258825040320002,0.75,18
in-07094449f509827e,2026-03-10,19,11,0.21429686244250745,0.0635165863093533,0.16585817776228254,0.6497568046080001,0.75,8
in-0203fddefc4a7b12,2026-02-27,19,10,0.20186154450857102,0.06676107808375029,0.14837206853063487,0.6168606517028572,0.75,9
in-090a862bf2348484,2026-03-08,19,4,0.06717383450835385,0.030897547467549212,0.055806759784096174,0.6229581547885715,0.75,15
in-04248886f0c9f962,2026-03-09,19,9,0.178607914322301,0.015465406215157594,0.178607914322301,0.6776397360822859,0.75,10
in-0e980950f025d235,2025-08-21,19,8,0.16334358734826912,0.10968369543217134,0.10662619000987004,0.6569812131840002,0.75,11
in-0a7b6c95f2d71548,2026-03-02,19,2,0.02681524161489715,0.02681524161489715,0.0,0.6295944026400001,0.75,17
in-0250e3c3a534c646,2026-02-12,19,9,0.20590861408334032,0.10883638693927623,0.20590861408334032,0.6443038852427756,0.75,10
in-105cf9739214f450,2026-03-06,19,7,0.14528581518652897,0.05675350015179235,0.13100319159658333,0.6530517280224002,0.75,12
in-120cae709fd91b6b,2025-09-30,19,1,0.01785892310895418,0.0,0.01785892310895418,0.60757326,0.75,18
in-10c22ca2ab379104,2026-03-06,19,3,0.047954633891274245,0.029814417641105595,0.018140216250168654,0.626743830528,0.75,16
in-1021728769a1b1b3,2026-02-24,19,6,0.11652630416886951,0.021211147683964458,0.09531515648490506,0.6327908550400001,0.75,13
in-0fcfe59aff7d7b19,2025-05-10,19,5,0.11818908954921523,0.04725415984251522,0.11818908954921523,0.6299385798354881,0.75,14
in-1291ef0e4f87819c,2026-03-06,19,11,0.22425522678776796,0.14558489539688466,0.22425522678776796,0.6331945639680002,0.75,8
in-14734ee7aab2dff0,2026-02-20,19,3,0.07736045980061226,0.06471095352250719,0.028387111111691128,0.677244692448,0.75,16
in-1685751ab1e35ff9,2026-02-25,19,6,0.11492938493427478,0.05571036077331518,0.11492938493427478,0.620201874624,0.75,13
in-17826d4303fc4d24,2026-01-02,19,2,0.05482979197251169,0.016024471292491193,0.05482979197251169,0.6452882809200001,0.75,17
in-184610fda3276dcc,2026-03-06,19,2,0.03640061993347972,0.0,0.03640061993347972,0.6481487068800001,0.75,17
in-18c592689d7d0491,2025-10-23,19,5,0.1152567556029872,0.016586218782336327,0.1152567556029872,0.6319424563200001,0.75,14
in-12e4e1edda8ca7ae,2026-03-09,19,12,0.27859323249381895,0.1393112149126568,0.27419904470443734,0.6586256185417142,0.75,7
in-16914020afc5dd69,2026-02-13,19,12,0.23517900167479924,0.15570637748559282,0.13015036394721585,0.6961029845760001,0.75,7
in-17ecef6aa8580020,2026-03-10,19,7,0.11900959892312368,0.11900959892312368,0.01852902738671554,0.645231761001931,0.75,12
in-219553aa7e342a4a,2025-10-23,19,3,0.058342136207379804,0.02595583221956535,0.058342136207379804,0.6360919761600001,0.75,16
in-19253c0e90d0d4b7,2026-02-06,19,7,0.1318490086805262,0.08062708179355828,0.06785985419624731,0.6392647872000001,0.75,12
in-189e4607c218da31,2026-03-02,19,4,0.09459080758847689,0.031253923922519564,0.09459080758847689,0.6358368821866669,0.75,15
in-193d18c2574de4de,2025-08-15,19,4,0.0702029374015255,0.05019077642270632,0.020012160978819197,0.6644223667200001,0.75,15
in-245d39f4f47bb97d,2026-02-10,19,0,0.0,0.0,0.0,0.545130432,0.75,19
in-2335dacd2512b6a9,2026-03-10,19,0,0.0,0.0,0.0,0.6232394640000002,0.0,19
in-21f3b05871873683,2026-01-02,19,7,0.14791376939047793,0.0868791986590207,0.11565570831298828,0.6494680971360001,0.75,12
in-280d71e71496c506,2026-03-06,19,0,0.0,0.0,0.0,0.0,0.0,19
