job_id,date_posted,total_components,covered_components,coverage_percentage,skill_coverage_pct,knowledge_coverage_pct,avg_skill_confidence,avg_knowledge_confidence,missing_components_count,job_date,job_year,job_month
in-02ef051e5141ce4b,2025-12-03,19,4,0.0614342258175709,0.034508402102157,0.0380606682677018,0.6405745059085715,0.75,15,2025-12-03,2025,2025-12
in-018a8a6c4578b687,2026-03-10,19,3,0.0596680095321253,0.0,0.0596680095321253,0.6107513241600001,0.75,16,2026-03-10,2026,2026-03
in-06c523ff1cf86edd,2026-02-18,19,0,0.0,0.0,0.0,0.0,0.0,19,2026-02-18,2026,2026-02
in-06b5e96976a3f626,2026-03-11,19,1,0.0201746708468387,0.0,0.0201746708468387,0.6258825040320002,0.75,18,2026-03-11,2026,2026-03
in-07094449f509827e,2026-03-10,19,11,0.2142968624425074,0.0635165863093533,0.1658581777622825,0.6497568046080001,0.75,8,2026-03-10,2026,2026-03
in-0203fddefc4a7b12,2026-02-27,19,10,0.201861544508571,0.0667610780837502,0.1483720685306348,0.6168606517028572,0.75,9,2026-02-27,2026,2026-02
in-090a862bf2348484,2026-03-08,19,4,0.0671738345083538,0.0308975474675492,0.0558067597840961,0.6229581547885715,0.75,15,2026-03-08,2026,2026-03
in-04248886f0c9f962,2026-03-09,19,9,0.178607914322301,0.0154654062151575,0.178607914322301,0.6776397360822859,0.75,10,2026-03-09,2026,2026-03
in-0e980950f025d235,2025-08-21,19,8,0.1633435873482691,0.1096836954321713,0.10662619000987,0.6569812131840002,0.75,11,2025-08-21,2025,2025-08
in-0a7b6c95f2d71548,2026-03-02,19,2,0.0268152416148971,0.0268152416148971,0.0,0.6295944026400001,0.75,17,2026-03-02,2026,2026-03
in-0250e3c3a534c646,2026-02-12,19,9,0.2059086140833403,0.1088363869392762,0.2059086140833403,0.6443038852427756,0.75,10,2026-02-12,2026,2026-02
in-105cf9739214f450,2026-03-06,19,7,0.1452858151865289,0.0567535001517923,0.1310031915965833,0.6530517280224002,0.75,12,2026-03-06,2026,2026-03
in-120cae709fd91b6b,2025-09-30,19,1,0.0178589231089541,0.0,0.0178589231089541,0.60757326,0.75,18,2025-09-30,2025,2025-09
in-10c22ca2ab379104,2026-03-06,19,3,0.0479546338912742,0.0298144176411055,0.0181402162501686,0.626743830528,0.75,16,2026-03-06,2026,2026-03
in-1021728769a1b1b3,2026-02-24,19,6,0.1165263041688695,0.0212111476839644,0.095315156484905,0.6327908550400001,0.75,13,2026-02-24,2026,2026-02
in-0fcfe59aff7d7b19,2025-05-10,19,5,0.1181890895492152,0.0472541598425152,0.1181890895492152,0.6299385798354881,0.75,14,2025-05-10,2025,2025-05
in-1291ef0e4f87819c,2026-03-06,19,11,0.2242552267877679,0.1455848953968846,0.2242552267877679,0.6331945639680002,0.75,8,2026-03-06,2026,2026-03
in-14734ee7aab2dff0,2026-02-20,19,3,0.0773604598006122,0.0647109535225071,0.0283871111116911,0.677244692448,0.75,16,2026-02-20,2026,2026-02
in-1685751ab1e35ff9,2026-02-25,19,6,0.1149293849342747,0.0557103607733151,0.1149293849342747,0.620201874624,0.75,13,2026-02-25,2026,2026-02
in-17826d4303fc4d24,2026-01-02,19,2,0.0548297919725116,0.0160244712924911,0.0548297919725116,0.6452882809200001,0.75,17,2026-01-02,2026,2026-01
in-184610fda3276dcc,2026-03-06,19,2,0.0364006199334797,0.0,0.0364006199334797,0.6481487068800001,0.75,17,2026-03-06,2026,2026-03
in-18c592689d7d0491,2025-10-23,19,5,0.1152567556029872,0.0165862187823363,0.1152567556029872,0.6319424563200001,0.75,14,2025-10-23,2025,2025-10
in-12e4e1edda8ca7ae,2026-03-09,19,12,0.2785932324938189,0.1393112149126568,0.2741990447044373,0.6586256185417142,0.75,7,2026-03-09,2026,2026-03
in-16914020afc5dd69,2026-02-13,19,12,0.2351790016747992,0.1557063774855928,0.1301503639472158,0.6961029845760001,0.75,7,2026-02-13,2026,2026-02
in-17ecef6aa8580020,2026-03-10,19,7,0.1190095989231236,0.1190095989231236,0.0185290273867155,0.645231761001931,0.75,12,2026-03-10,2026,2026-03
in-219553aa7e342a4a,2025-10-23,19,3,0.0583421362073798,0.0259558322195653,0.0583421362073798,0.6360919761600001,0.75,16,2025-10-23,2025,2025-10
in-19253c0e90d0d4b7,2026-02-06,19,7,0.1318490086805262,0.0806270817935582,0.0678598541962473,0.6392647872000001,0.75,12,2026-02-06,2026,2026-02
in-189e4607c218da31,2026-03-02,19,4,0.0945908075884768,0.0312539239225195,0.0945908075884768,0.6358368821866669,0.75,15,2026-03-02,2026,2026-03
in-193d18c2574de4de,2025-08-15,19,4,0.0702029374015255,0.0501907764227063,0.0200121609788191,0.6644223667200001,0.75,15,2025-08-15,2025,2025-08
in-245d39f4f47bb97d,2026-02-10,19,0,0.0,0.0,0.0,0.545130432,0.75,19,2026-02-10,2026,2026-02
in-2335dacd2512b6a9,2026-03-10,19,0,0.0,0.0,0.0,0.6232394640000002,0.0,19,2026-03-10,2026,2026-03
in-21f3b05871873683,2026-01-02,19,7,0.1479137693904779,0.0868791986590207,0.1156557083129882,0.6494680971360001,0.75,12,2026-01-02,2026,2026-01
in-280d71e71496c506,2026-03-06,19,0,0.0,0.0,0.0,0.0,0.0,19,2026-03-06,2026,2026-03
in-2343dce8f94f0a1c,2026-03-05,19,6,0.0789390814905039,0.071041691411108,0.0208428815791481,0.6283681450085274,0.75,13,2026-03-05,2026,2026-03
in-23d80004b8615742,2026-03-09,19,17,0.3248780266484579,0.251018204924788,0.1144132319249604,0.6697791347873685,0.75,2,2026-03-09,2026,2026-03
in-25943c33b8b06d57,2026-02-12,19,13,0.2188966613391942,0.1274977449149822,0.1215628812187596,0.6364054868480002,0.75,6,2026-02-12,2026,2026-02
in-2bf49c3826340f07,2026-03-11,19,2,0.0423086011683575,0.0188042944002413,0.0418442901812101,0.645079995977143,0.75,17,2026-03-11,2026,2026-03
in-29a1ec53620be6a8,2026-03-09,19,6,0.116269695041339,0.0152496079748894,0.1010200870664496,0.6236258236416001,0.75,13,2026-03-09,2026,2026-03
in-284b7cf30eb81914,2025-12-11,19,5,0.1027310360502086,0.0360898740762903,0.0858753053765548,0.630887943168,0.75,14,2025-12-11,2025,2025-12
in-2c3357aa80d35805,2025-12-17,19,0,0.0,0.0,0.0,0.63011979072,0.75,19,2025-12-17,2025,2025-12
in-2b0d7561fe568605,2026-03-09,19,11,0.2391788464451068,0.0774661680947354,0.2254902739273874,0.6498153079532311,0.75,8,2026-03-09,2026,2026-03
in-2dbe2c923e947b35,2026-02-14,19,1,0.0192309680737947,0.0,0.0192309680737947,0.6354546566400001,0.75,18,2026-02-14,2026,2026-02
in-2f5b3f13e615982a,2026-03-06,19,6,0.1167724271044142,0.0434253751687952,0.0880221134737918,0.6483291256319998,0.75,13,2026-03-06,2026,2026-03
in-30cac704112e9e05,2026-03-03,19,0,0.0,0.0,0.0,0.6422965905600001,0.75,19,2026-03-03,2026,2026-03
in-30af647e83a32e8c,2025-12-05,19,13,0.2671183611217298,0.0614944176862929,0.2671183611217298,0.6519998624914286,0.75,6,2025-12-05,2025,2025-12
in-31a68bf771762bbc,2025-12-15,19,4,0.0687083266850415,0.0138554093651916,0.0548529173198499,0.6561098173440001,0.75,15,2025-12-15,2025,2025-12
in-32372b2a70a2998c,2026-03-04,19,3,0.0404501970391285,0.0404501970391285,0.0,0.6538008178285716,0.75,16,2026-03-04,2026,2026-03
in-35b0fd014582dbaf,2025-12-23,19,1,0.008977124067331,0.008977124067331,0.0,0.6113418116400001,0.0,18,2025-12-23,2025,2025-12
in-35e79000a6810bd1,2026-03-09,19,7,0.1456986010414234,0.0714675393071778,0.1112547416436045,0.70303514112,0.75,12,2026-03-09,2026,2026-03
in-34c6520c08d55db7,2026-02-27,19,3,0.0582934084691499,0.0,0.0582934084691499,0.6474619875200002,0.75,16,2026-02-27,2026,2026-02
in-3556957cea163733,2026-03-11,19,13,0.2837379726622066,0.1419290426740569,0.2321134253552085,0.6376367760480003,0.75,6,2026-03-11,2026,2026-03
in-35e03ae1caff1780,2026-03-05,19,5,0.1320955583923741,0.0,0.1320955583923741,0.6394600841760001,0.75,14,2026-03-05,2026,2026-03
in-3a25de1e948c9510,2025-11-21,19,4,0.0740729156293367,0.0139935110003824,0.0740729156293367,0.6852514801371429,0.75,15,2025-11-21,2025,2025-11
in-37ed4cd194d9bd61,2025-11-12,19,7,0.1191837832848551,0.043566756109454,0.0918189243266457,0.6264971246400001,0.75,12,2025-11-12,2025,2025-11
