job_id,raw_text,final_skills,final_skills_count,final_knowledge,final_knowledge_count,final_hard_skills,final_soft_skills,final_bloom_distribution,coverage_percentage,skill_coverage_pct,knowledge_coverage_pct,missing_components_count,model_agreement_score,final_avg_confidence,avg_semantic_density,avg_context_agreement
in-02ef051e5141ce4b,This role is based in San Francisco. Learn more about the data science team in this blog What you’ll do Responsibilities: Be the go -to data partner for the CEO and Regional Business Leads. Use causal inference methods to understand how macroeconomic events impact the business. Leverage AI to generate insights and improve business and team efficiency. Lead Airwallex’s forecasting efforts by 1 ) building tools that aggregate and evaluate forecasts 2 ) applying advanced statistical methods to buil,"[""use causal inference methods"", ""leveraging AI to generate insights"", ""lead forecasting efforts"", ""build tools that aggregate and evaluate forecasts"", ""apply advanced statistical methods"", ""scope and build data products""]",6,"[""causal inference"", ""macroeconomics"", ""statistical methods"", ""data products""]",4,6,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 1, ""Evaluate"": 0, ""Create"": 3, ""N/A"": 0}",0.0614342258175709,0.034508402102157,0.0380606682677018,15,0.0,0.6405745059085715,0.7923809523809524,0.9
in-018a8a6c4578b687,"The targeted combined range for this position is 194,100 - 411,600 USD.
Requisition ID: 443863 | Work Area: Presales | Expected Travel: 0 - 50% | Career Status: Professional | Employment Type: Regular Full Time | Additional Locations: #LI -Hybrid
Candidate(s) will be required to work 3 days a week in office/client site as per our Pledge to Flex return to office policy Bring out your best SAP innovations help more than four hundred thousand customers worldwide work together more efficiently and u","[""lead solution-architecture initiatives"", ""support the entire sales cycle"", ""identify sales opportunities"", ""provide post-sale customer support"", ""assist customers in expanding SAP footprint""]",5,"[""SAP"", ""enterprise software"", ""platform"", ""PaaS""]",4,2,3,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 1, ""N/A"": 3}",0.0596680095321253,0.0,0.0596680095321253,16,0.0,0.6107513241600001,0.8277000000000001,0.9
in-06c523ff1cf86edd,"The expected base pay range for this position is: Plano, TX: $99,500 $117,303 $135,000",[],0,[],0,0,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 0, ""N/A"": 0}",0.0,0.0,0.0,19,0.0,0.0,0.0,0.0
in-06b5e96976a3f626,"Accounting Generalist (Term Position) = This is a term position to October 15, 2026 . Banff Centre for Arts and Creativity aims to inspire everyone who attends our campus – artists, leaders, and thinkers – to unleash their creative potential.
We acknowledge, with deep respect and gratitude, our home on the side of Sacred Buffalo Guardian Mountain.
In the spirit of respect and truth, we honour and acknowledge the Banff area, known as “Minhrpa” (translated in Stoney Nakoda as “the waterfalls”) and","[""provide information on financial policies"", ""ensure smooth running of department"", ""administer candidate profiles"", ""evaluate eligibility for positions"", ""communicate about applications""]",5,"[""financial policies"", ""Protection of Privacy Act (Alberta)"", ""Access to Information Act"", ""financial reporting""]",4,3,2,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 1, ""Evaluate"": 1, ""Create"": 0, ""N/A"": 2}",0.0201746708468387,0.0,0.0201746708468387,18,0.0,0.6258825040320002,0.8381000000000001,0.9
in-07094449f509827e,"The ideal candidate is someone who loves production technology, enjoys solving technical problems, and takes pride in building systems that run smoothly.
You will be responsible for ensuring that cameras, microphones, lighting, and production software operate flawlessly across our office studio, auditorium, and podcast environments.
Description: Location: Las Vegas, NV Full -Time About the Role We are building a modern in -house studio environment to produce high -quality podcasts, interviews, a","[""solve technical problems"", ""build systems that run smoothly"", ""ensure cameras operate flawlessly"", ""ensure microphones operate flawlessly"", ""ensure lighting operates flawlessly"", ""ensure production software operates flawlessly""]",6,"[""production technology"", ""cameras"", ""microphones"", ""lighting"", ""production software"", ""studio"", ""auditorium"", ""podcast environments"", ""video technology"", ""studio equipment"", ""production systems""]",11,6,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 1, ""Analyze"": 0, ""Evaluate"": 4, ""Create"": 1, ""N/A"": 0}",0.2142968624425074,0.0635165863093533,0.1658581777622825,8,0.0,0.6497568046080001,0.8256666666666668,0.9
in-0203fddefc4a7b12,"As a Senior Product Manager, you will play a critical role in identifying and executing on opportunities to innovate and deliver new value to our developer customers.
DESCRIPTION - Amazon Interactive Video Service (Amazon IVS) is AWS's fully managed live streaming service, built on the same battle -tested technology that powers Twitch and trusted by thousands of enterprises across gaming, social, live commerce, sports, and entertainment.
The ideal candidate will bring both expertise in video str","[""identify opportunities"", ""execute on opportunities"", ""innovate value"", ""deliver value"", ""partner with engineers"", ""partner with customers"", ""work with developers"", ""understand developer needs"", ""build products"", ""solve business problems"", ""own product strategy"", ""own business strategy"", ""conduct customer discovery"", ""execute go-to-market""]",14,"[""Amazon Interactive Video Service (Amazon IVS)"", ""AWS"", ""live streaming service"", ""video streaming technologies"", ""APIs"", ""SDKs"", ""Twitch"", ""gaming"", ""social"", ""live commerce"", ""sports"", ""entertainment""]",12,1,13,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 1, ""N/A"": 13}",0.201861544508571,0.0667610780837502,0.1483720685306348,9,0.0,0.6168606517028572,0.8153571428571429,0.9000000000000001
in-090a862bf2348484,"Pay: £38,000 .00 -£42,000 .00 per year Benefits: Company pension Work from home Education: Bachelor's (preferred) Work Location: Hybrid remote in Staines -upon -Thames TW18 4AX Application deadline: 20/03/2026 Expected start date: 01/05/2026
About the Role We are looking for a detail -oriented and analytical Data Analyst to join our growing team.
The ideal candidate will be responsible for collecting, analysing, and interpreting complex datasets to help organisations make informed business decis","[""collect complex datasets"", ""analyse complex datasets"", ""interpret complex datasets"", ""transform raw data into meaningful insights"", ""create visual reports"", ""work closely with cross-functional teams"", ""help organisations make informed business decisions""]",7,"[""data analysis"", ""business intelligence""]",2,5,2,"{""Remember"": 0, ""Understand"": 1, ""Apply"": 3, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 1, ""N/A"": 2}",0.0671738345083538,0.0308975474675492,0.0558067597840961,15,0.0,0.6229581547885715,0.8151428571428572,0.9000000000000001
in-04248886f0c9f962,"Act as expert for system admins and Engineers to assit thorough the STIG hardening process.
Support tracking of remediation actions, Plans of Action and Milestones (POA &Ms), and exceptions in accordance with RMF guidance.
BASIC QUALIFICATIONS: Active DoD Secret clearance required. CompTIA Security + CE or higher DoD 8570 IAT Level II certification must meet 8140 ISSM role qualification. Bachelor's Degree and 4 -8 years of cybersecurity or system administration experience, with at least 1 year o","[""act as expert for system admins and engineers"", ""support tracking of remediation actions"", ""support tracking of POA&Ms"", ""support tracking of exceptions"", ""interpret technical vulnerability data"", ""communicate risk-based recommendations"", ""assist with scheduling vulnerability scans"", ""assist with running vulnerability scans"", ""review scan results"", ""identify potential CAT I/II/III findings"", ""identify false positives"", ""identify basic configuration issues"", ""identify hardening requirements"", ""apply Security Technical Implementation Guides (STIGs)""]",14,"[""STIG hardening process"", ""RMF guidance"", ""DoD Secret clearance"", ""CompTIA Security+ CE"", ""DoD 8570 IAT Level II certification"", ""cybersecurity"", ""system administration"", ""ACAS"", ""Tenable"", ""DISA STIGs"", ""vulnerability risk levels"", ""POA&M remediation strategies"", ""NIST SP 800-53"", ""RMF compliance"", ""Air Force cybersecurity policy (AFMAN 17-130)"", ""USAF"", ""DISA"", ""DoD mission systems"", ""EvaluateSTIG"", ""StigViewer"", ""OpenSCAP"", ""Nessus"", ""CCRI/CORA preparation"", ""vulnerability remediation campaigns"", ""automation tools/scripts"", ""PowerShell"", ""Nessus APIs"", ""Tenable SecurityCenter"", ""Nessus (ACAS)"", ""classified environments"", ""unclassified environments"", ""Security Technical Implementation Guides (STIGs)""]",32,12,2,"{""Remember"": 0, ""Understand"": 1, ""Apply"": 3, ""Analyze"": 4, ""Evaluate"": 4, ""Create"": 0, ""N/A"": 2}",0.178607914322301,0.0154654062151575,0.178607914322301,10,0.0,0.6776397360822859,0.8220714285714287,0.9000000000000001
in-0e980950f025d235,"Design Content Design Lead - TikTok Shop Location : Singapore Employment Type : Regular Job Code : A173308 Responsibilities The mission of the content design team is to make TikTok Shop an engaging and trusted global e -commerce platform by embedding our expertise in content systems, language, and writing into product development.","[""design content systems"", ""embed expertise into product development"", ""lead a team""]",3,"[""content systems"", ""e-commerce platform"", ""product development""]",3,2,1,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 0, ""Analyze"": 0, ""Evaluate"": 0, ""Create"": 2, ""N/A"": 1}",0.1633435873482691,0.1096836954321713,0.10662619000987,11,0.0,0.6569812131840002,0.7686666666666667,0.9
in-0a7b6c95f2d71548,"The role may require overtime based on production needs. # EEO Statement Vertiv is an Equal Opportunity Employer.
# Job Summary The CNC Programmer – Haas is responsible for programming, setting up, and optimizing CNC machining operations using Haas equipment to produce high -quality components that meet engineering specifications and production requirements.","[""program CNC machining operations"", ""set up CNC machining operations"", ""optimize CNC machining operations"", ""produce high-quality components"", ""meet engineering specifications"", ""meet production requirements""]",6,"[""CNC machining"", ""Haas equipment""]",2,6,0,"{""Remember"": 0, ""Understand"": 0, ""Apply"": 2, ""Analyze"": 0, ""Evaluate"": 1, ""Create"": 3, ""N/A"": 0}",0.0268152416148971,0.0268152416148971,0.0,17,0.0,0.6295944026400001,0.84075,0.9
