skill,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight,trend_tier,tier_weight,future_weight_tier
conceptualize AI integration,1,0.6,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5810822,0.5810822,0.53413814,0.33849195,0.04694408,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5520281136035919,Strong_Growth,1.0,0.5810822248458862
develop AI/ML solutions,1,0.674,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5516592,0.5516592,0.5026167,0.30348358,0.049042523,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5516592264175415,Strong_Growth,1.0,0.5516592264175415
develop critical thinking skills,1,0.61,MCK04,Critical Thinking & Problem Solving,Strong_Growth,0.8,0.6632638,0.6632638,0.23861559,0.22834164,0.42464823,MCK02,WEF08,McKinsey_FutureOfWork_2025,0.5306110382080078,Strong_Growth,1.0,0.6632637977600098
build cloud infrastructure,1,0.678,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.60938823,0.60938823,0.24853416,0.24390557,0.3608541,ONET02,ONET06,WEF_FutureOfJobs_2025,0.517979997396469,Strong_Growth,1.0,0.6093882322311401
support AI platforms,1,0.67,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5143937,0.5143937,0.49024737,0.2992972,0.024146318,WEF07,WEF04,WEF_FutureOfJobs_2025,0.51439368724823,Strong_Growth,1.0,0.51439368724823
design AI/ML solutions,1,0.672,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5138756,0.5138756,0.46769553,0.27395844,0.04618007,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5138756036758423,Strong_Growth,1.0,0.5138756036758423
build AI and robotics products,1,0.695,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.54091185,0.54091185,0.5006041,0.38146412,0.04030776,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5138662606477737,Strong_Growth,1.0,0.540911853313446
work with multiple cloud infrastructures,1,0.621,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6010329,0.6010329,0.30123883,0.28090847,0.29979408,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5108779758214951,Strong_Growth,1.0,0.6010329127311707
provision cloud infrastructure,1,0.603,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.59365726,0.59365726,0.27055776,0.24259232,0.3230995,ONET06,ONET02,WEF_FutureOfJobs_2025,0.50460866689682,Strong_Growth,1.0,0.5936572551727295
manage cloud infrastructure,1,0.573,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.59206307,0.59206307,0.32829067,0.25480473,0.2637724,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5032536089420319,Strong_Growth,1.0,0.5920630693435669
integrate AI,1,0.667,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5118562,0.5118562,0.49433196,0.3286991,0.017524242,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4862633883953094,Strong_Growth,1.0,0.511856198310852
teach artificial intelligence,1,0.601,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4743281,0.4743281,0.43586075,0.23755108,0.038467348,WEF07,MCK01,WEF_FutureOfJobs_2025,0.47432810068130493,Strong_Growth,1.0,0.47432810068130493
architect AI factories,1,0.672,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4972621,0.4972621,0.46589732,0.34767765,0.03136477,WEF01,MCK01,WEF_FutureOfJobs_2025,0.47239898592233653,Strong_Growth,1.0,0.4972620904445648
teach data analytics,1,0.59,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.5220984,0.5220984,0.35569185,0.32260388,0.16640657,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.4698885798454285,Strong_Growth,1.0,0.5220984220504761
implement agentic AI technologies,1,0.622,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.49339896,0.49339896,0.47683567,0.32998717,0.016563296,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4687290161848068,Strong_Growth,1.0,0.4933989644050598
provide input into development and implementation of Machine Learning technology,1,0.621,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4567395,0.4567395,0.27207506,0.26162326,0.18466443,MCK01,WEF07,WEF_FutureOfJobs_2025,0.45673948526382446,Strong_Growth,1.0,0.45673948526382446
