knowledge,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight,trend_tier,tier_weight,future_weight_tier
AI Software,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.57532257,0.57532257,0.54607,0.35414928,0.029252589,WEF07,MCK01,WEF_FutureOfJobs_2025,0.5753225684165955,Strong_Growth,1.0,0.5753225684165955
Data & AI,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.56881815,0.56881815,0.5075385,0.42368877,0.061279655,WEF07,WEF02,WEF_FutureOfJobs_2025,0.5688181519508362,Strong_Growth,1.0,0.5688181519508362
cloud infrastructures,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6528394,0.6528394,0.39798266,0.36487395,0.25485677,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5549135088920593,Strong_Growth,1.0,0.6528394222259521
cloud infrastructure,2,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6325762,0.6325762,0.35113987,0.3509547,0.28143635,ONET06,ONET02,WEF_FutureOfJobs_2025,0.5376897931098937,Strong_Growth,1.0,0.6325762271881104
cloud computing infrastructure,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.63086116,0.63086116,0.35846847,0.33433944,0.2723927,ONET06,ONET02,WEF_FutureOfJobs_2025,0.5362319886684418,Strong_Growth,1.0,0.6308611631393433
AI/MLOps,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.53318995,0.53318995,0.45625687,0.3355287,0.076933086,WEF07,WEF04,WEF_FutureOfJobs_2025,0.5331899523735046,Strong_Growth,1.0,0.5331899523735046
AI platforms,2,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.53118527,0.53118527,0.48530072,0.31070763,0.04588455,WEF07,WEF04,WEF_FutureOfJobs_2025,0.5311852693557739,Strong_Growth,1.0,0.5311852693557739
AI agents,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5501502,0.5501502,0.5459433,0.34246624,0.004206896,WEF01,MCK01,WEF_FutureOfJobs_2025,0.5226427048444747,Strong_Growth,1.0,0.5501502156257629
cybersecurity compliance,1,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.5701589,0.5701589,0.2964381,0.29275858,0.2737208,ONET06,ONET02,WEF_FutureOfJobs_2025,0.5131430089473724,Strong_Growth,1.0,0.5701588988304138
cybersecurity standards,1,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.5684991,0.5684991,0.2847563,0.26302052,0.2837428,ONET06,ONET02,WEF_FutureOfJobs_2025,0.5116491794586182,Strong_Growth,1.0,0.5684990882873535
cloud services,2,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.59876084,0.59876084,0.37473613,0.37278166,0.22402471,ONET02,ONET06,WEF_FutureOfJobs_2025,0.5089467167854309,Strong_Growth,1.0,0.5987608432769775
AI ecosystems,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5010398,0.5010398,0.48854297,0.32906842,0.012496829,WEF07,WEF04,WEF_FutureOfJobs_2025,0.5010398030281067,Strong_Growth,1.0,0.5010398030281067
AI/ML,2,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.48981518,0.48981518,0.41466767,0.23086676,0.07514751,WEF07,MCK01,WEF_FutureOfJobs_2025,0.4898151755332947,Strong_Growth,1.0,0.4898151755332947
Data Science,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.5426687,0.5426687,0.4617776,0.36473057,0.0808911,ONET02,WEF01,WEF_FutureOfJobs_2025,0.4884018301963806,Strong_Growth,1.0,0.5426687002182007
AWS Cloud infrastructure,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.573182,0.573182,0.28199676,0.28029004,0.29118523,ONET02,ONET06,WEF_FutureOfJobs_2025,0.4872046887874603,Strong_Growth,1.0,0.5731819868087769
Big Data Analytics,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.53917116,0.53917116,0.304182,0.2671388,0.23498917,ONET02,WEF01,WEF_FutureOfJobs_2025,0.485254043340683,Strong_Growth,1.0,0.5391711592674255
AI Care platform,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5092552,0.5092552,0.50510836,0.35711786,0.0041468143,WEF01,MCK01,WEF_FutureOfJobs_2025,0.48379241228103637,Strong_Growth,1.0,0.5092551708221436
Artificial Intelligence (AI),2,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.48154962,0.48154962,0.463448,0.29523158,0.018101633,WEF07,MCK01,WEF_FutureOfJobs_2025,0.48154962062835693,Strong_Growth,1.0,0.48154962062835693
artificial intelligence,3,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.47946677,0.47946677,0.4260902,0.2692353,0.053376555,WEF07,MCK01,WEF_FutureOfJobs_2025,0.4794667661190033,Strong_Growth,1.0,0.4794667661190033
cybersecurity,3,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.5320104,0.5320104,0.3069684,0.2983096,0.22504199,ONET06,ONET02,WEF_FutureOfJobs_2025,0.4788093388080597,Strong_Growth,1.0,0.5320103764533997
cloud-based infrastructures,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5611266,0.5611266,0.29361737,0.2725513,0.26750922,ONET02,ONET06,WEF_FutureOfJobs_2025,0.47695760130882264,Strong_Growth,1.0,0.5611265897750854
cloud technologies,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.55338216,0.55338216,0.37999836,0.32212475,0.1733838,ONET06,WEF05,WEF_FutureOfJobs_2025,0.4703748345375061,Strong_Growth,1.0,0.553382158279419
cloud platform,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5529847,0.5529847,0.31679764,0.31123298,0.23618707,ONET02,ONET06,WEF_FutureOfJobs_2025,0.4700370073318481,Strong_Growth,1.0,0.5529847145080566
AI-enabled workflows,2,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.49118435,0.49118435,0.47505015,0.4449963,0.016134202,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4666251361370086,Strong_Growth,1.0,0.4911843538284302
AI infrastructure ecosystem,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4845823,0.4845823,0.46831855,0.41833514,0.016263753,WEF01,WEF04,WEF_FutureOfJobs_2025,0.46035318970680233,Strong_Growth,1.0,0.4845823049545288
AI Software Delivery Platform,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4829542,0.4829542,0.47141314,0.3051798,0.011541069,WEF01,MCK01,WEF_FutureOfJobs_2025,0.45880649387836453,Strong_Growth,1.0,0.482954204082489
AI-driven development practices,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.48121154,0.48121154,0.38524204,0.32666993,0.0959695,WEF01,DEC03,WEF_FutureOfJobs_2025,0.45715096592903137,Strong_Growth,1.0,0.4812115430831909
cloud components,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5277213,0.5277213,0.22144413,0.21754663,0.30627716,DEC02,ONET02,WEF_FutureOfJobs_2025,0.4485630929470062,Strong_Growth,1.0,0.5277212858200073
cloud,2,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.517993,0.517993,0.2831279,0.24651375,0.23486507,ONET02,ONET06,WEF_FutureOfJobs_2025,0.4402940273284912,Strong_Growth,1.0,0.5179929733276367
enterprise-scale AI systems,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4394995,0.4394995,0.41806898,0.26949513,0.021430522,WEF07,WEF04,WEF_FutureOfJobs_2025,0.43949949741363525,Strong_Growth,1.0,0.43949949741363525
Azure DevOps,2,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.51013696,0.51013696,0.2978982,0.24214208,0.21223876,ONET01,ONET05,WEF_FutureOfJobs_2025,0.43361641764640807,Strong_Growth,1.0,0.5101369619369507
Big Data technologies,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.48006177,0.48006177,0.29122865,0.27910012,0.18883312,ONET02,ONET06,WEF_FutureOfJobs_2025,0.43205559253692627,Strong_Growth,1.0,0.48006176948547363
AI first workflows,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.45333686,0.45333686,0.4301954,0.3780617,0.023141474,WEF01,MCK01,WEF_FutureOfJobs_2025,0.4306700214743614,Strong_Growth,1.0,0.4533368647098541
agentic AI,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.45242792,0.45242792,0.42284685,0.2730319,0.02958107,WEF01,MCK01,WEF_FutureOfJobs_2025,0.42980652749538417,Strong_Growth,1.0,0.4524279236793518
cloud-native environments,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.49590397,0.49590397,0.2635659,0.26218012,0.23233807,DEC02,ONET02,WEF_FutureOfJobs_2025,0.42151837348937987,Strong_Growth,1.0,0.49590396881103516
AI-assisted insights,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.43801117,0.43801117,0.39677954,0.21971974,0.041231632,WEF01,WEF02,WEF_FutureOfJobs_2025,0.41611061096191404,Strong_Growth,1.0,0.43801116943359375
ML engineering,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.41464734,0.41464734,0.35745147,0.263634,0.057195872,ESCO02,WEF02,WEF_FutureOfJobs_2025,0.41464734077453613,Strong_Growth,1.0,0.41464734077453613
data analytics,1,0.75,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.45579773,0.45579773,0.38989258,0.28460163,0.065905154,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.41021795868873595,Strong_Growth,1.0,0.4557977318763733
ML frameworks,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4087221,0.4087221,0.25639248,0.2549722,0.15232962,WEF02,ONET02,WEF_FutureOfJobs_2025,0.4087221026420593,Strong_Growth,1.0,0.4087221026420593
