job_id,model,skill_count,hard_skill_count,soft_skill_count,knowledge_count,avg_confidence,bloom_remember,bloom_understand,bloom_apply,bloom_analyze,bloom_evaluate,bloom_create,bloom_na,coverage_pct,confidence_vh,confidence_h,confidence_mh,confidence_m,confidence_ml,confidence_l,confidence_vl
in-02ef051e5141ce4b,LLM,6,6,0,4,0.6405745059085715,0,0,2,1,0,3,0,0,0,0,0,4,2,0,0
in-02ef051e5141ce4b,Hybrid,6,6,0,4,0.6405745059085715,0,0,2,1,0,3,0,0.06143422581757091,0,0,0,4,2,0,0
in-018a8a6c4578b687,LLM,5,2,3,4,0.6107513241600001,0,0,1,0,0,1,3,0,0,0,0,4,1,0,0
in-018a8a6c4578b687,Hybrid,5,2,3,4,0.6107513241600001,0,0,1,0,0,1,3,0.05966800953212538,0,0,0,4,1,0,0
in-06b5e96976a3f626,LLM,5,3,2,4,0.6258825040320002,0,0,1,1,1,0,2,0,0,0,0,4,1,0,0
in-06b5e96976a3f626,Hybrid,5,3,2,4,0.6258825040320002,0,0,1,1,1,0,2,0.020174670846838706,0,0,0,4,1,0,0
in-07094449f509827e,LLM,6,6,0,11,0.6497568046080001,0,0,1,0,4,1,0,0,0,0,1,5,0,0,0
in-07094449f509827e,Hybrid,6,6,0,11,0.6497568046080001,0,0,1,0,4,1,0,0.21429686244250745,0,0,1,5,0,0,0
in-0203fddefc4a7b12,LLM,14,1,13,12,0.6168606517028572,0,0,0,0,0,1,13,0,0,0,1,13,0,0,0
in-0203fddefc4a7b12,Hybrid,14,1,13,12,0.6168606517028572,0,0,0,0,0,1,13,0.20186154450857102,0,0,1,13,0,0,0
in-090a862bf2348484,LLM,7,5,2,2,0.6229581547885715,0,1,3,0,0,1,2,0,0,0,0,4,3,0,0
in-090a862bf2348484,Hybrid,7,5,2,2,0.6229581547885715,0,1,3,0,0,1,2,0.06717383450835385,0,0,0,4,3,0,0
in-04248886f0c9f962,LLM,14,12,2,32,0.6776397360822859,0,1,3,4,4,0,2,0,0,0,8,5,1,0,0
in-04248886f0c9f962,Hybrid,14,12,2,32,0.6776397360822859,0,1,3,4,4,0,2,0.178607914322301,0,0,8,5,1,0,0
in-0e980950f025d235,LLM,3,2,1,3,0.6569812131840002,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0
in-0e980950f025d235,Hybrid,3,2,1,3,0.6569812131840002,0,0,0,0,0,2,1,0.16334358734826912,0,0,1,2,0,0,0
in-0a7b6c95f2d71548,LLM,6,6,0,2,0.6295944026400001,0,0,2,0,1,3,0,0,0,0,0,4,2,0,0
in-0a7b6c95f2d71548,Hybrid,6,6,0,2,0.6295944026400001,0,0,2,0,1,3,0,0.02681524161489715,0,0,0,4,2,0,0
in-0250e3c3a534c646,LLM,28,23,5,14,0.6443038852427756,0,0,10,4,0,9,5,0,0,0,3,23,2,0,0
in-0250e3c3a534c646,Hybrid,28,23,5,14,0.6443038852427756,0,0,10,4,0,9,5,0.20590861408334032,0,0,3,23,2,0,0
in-105cf9739214f450,LLM,10,7,3,4,0.6530517280224002,0,1,2,0,1,3,3,0,0,0,0,10,0,0,0
in-105cf9739214f450,Hybrid,10,7,3,4,0.6530517280224002,0,1,2,0,1,3,3,0.14528581518652897,0,0,0,10,0,0,0
in-120cae709fd91b6b,LLM,4,1,3,5,0.60757326,0,0,1,0,0,0,3,0,0,0,0,3,1,0,0
in-120cae709fd91b6b,Hybrid,4,1,3,5,0.60757326,0,0,1,0,0,0,3,0.01785892310895418,0,0,0,3,1,0,0
in-10c22ca2ab379104,LLM,5,1,4,3,0.626743830528,0,0,0,1,0,0,4,0,0,0,1,3,1,0,0
in-10c22ca2ab379104,Hybrid,5,1,4,3,0.626743830528,0,0,0,1,0,0,4,0.047954633891274245,0,0,1,3,1,0,0
in-1021728769a1b1b3,LLM,9,6,3,9,0.6327908550400001,0,0,1,0,1,4,3,0,0,0,0,6,3,0,0
in-1021728769a1b1b3,Hybrid,9,6,3,9,0.6327908550400001,0,0,1,0,1,4,3,0.11652630416886951,0,0,0,6,3,0,0
in-0fcfe59aff7d7b19,LLM,14,9,5,17,0.6299385798354881,0,0,1,2,1,5,5,0,0,0,1,11,2,0,0
in-0fcfe59aff7d7b19,Hybrid,14,9,5,17,0.6299385798354881,0,0,1,2,1,5,5,0.11818908954921523,0,0,1,11,2,0,0
in-1291ef0e4f87819c,LLM,15,10,5,5,0.6331945639680002,0,0,3,0,2,5,5,0,0,0,0,11,4,0,0
in-1291ef0e4f87819c,Hybrid,15,10,5,5,0.6331945639680002,0,0,3,0,2,5,5,0.22425522678776796,0,0,0,11,4,0,0
in-14734ee7aab2dff0,LLM,4,3,1,2,0.677244692448,0,0,2,0,0,1,1,0,0,0,1,3,0,0,0
in-14734ee7aab2dff0,Hybrid,4,3,1,2,0.677244692448,0,0,2,0,0,1,1,0.07736045980061226,0,0,1,3,0,0,0
in-1685751ab1e35ff9,LLM,12,5,7,7,0.620201874624,1,0,2,1,0,1,7,0,0,0,0,10,2,0,0
in-1685751ab1e35ff9,Hybrid,12,5,7,7,0.620201874624,1,0,2,1,0,1,7,0.11492938493427478,0,0,0,10,2,0,0
in-17826d4303fc4d24,LLM,8,6,2,7,0.6452882809200001,0,0,2,1,0,3,2,0,0,0,0,6,2,0,0
in-17826d4303fc4d24,Hybrid,8,6,2,7,0.6452882809200001,0,0,2,1,0,3,2,0.05482979197251169,0,0,0,6,2,0,0
in-184610fda3276dcc,LLM,6,4,2,9,0.6481487068800001,0,0,4,0,0,0,2,0,0,0,0,5,1,0,0
in-184610fda3276dcc,Hybrid,6,4,2,9,0.6481487068800001,0,0,4,0,0,0,2,0.03640061993347972,0,0,0,5,1,0,0
in-18c592689d7d0491,LLM,3,3,0,2,0.6319424563200001,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0
in-18c592689d7d0491,Hybrid,3,3,0,2,0.6319424563200001,0,0,2,0,0,1,0,0.1152567556029872,0,0,1,0,2,0,0
in-12e4e1edda8ca7ae,LLM,18,10,8,24,0.6586256185417142,0,0,2,1,0,7,8,0,0,0,7,8,3,0,0
in-12e4e1edda8ca7ae,Hybrid,18,10,8,24,0.6586256185417142,0,0,2,1,0,7,8,0.27859323249381895,0,0,7,8,3,0,0
in-16914020afc5dd69,LLM,10,9,1,20,0.6961029845760001,0,0,6,0,0,3,1,0,0,0,9,1,0,0,0
in-16914020afc5dd69,Hybrid,10,9,1,20,0.6961029845760001,0,0,6,0,0,3,1,0.23517900167479924,0,0,9,1,0,0,0
in-17ecef6aa8580020,LLM,29,21,8,18,0.645231761001931,0,0,12,1,1,7,8,0,0,0,9,12,8,0,0
in-17ecef6aa8580020,Hybrid,29,21,8,18,0.645231761001931,0,0,12,1,1,7,8,0.11900959892312368,0,0,9,12,8,0,0
in-219553aa7e342a4a,LLM,8,6,2,7,0.6360919761600001,0,0,5,0,0,1,2,0,0,0,2,2,4,0,0
in-219553aa7e342a4a,Hybrid,8,6,2,7,0.6360919761600001,0,0,5,0,0,1,2,0.058342136207379804,0,0,2,2,4,0,0
in-19253c0e90d0d4b7,LLM,12,5,7,3,0.6392647872000001,0,0,1,0,2,2,7,0,0,0,3,8,1,0,0
in-19253c0e90d0d4b7,Hybrid,12,5,7,3,0.6392647872000001,0,0,1,0,2,2,7,0.1318490086805262,0,0,3,8,1,0,0
in-189e4607c218da31,LLM,27,17,10,10,0.6358368821866669,1,0,9,2,2,3,10,0,0,0,0,19,8,0,0
in-189e4607c218da31,Hybrid,27,17,10,10,0.6358368821866669,1,0,9,2,2,3,10,0.09459080758847689,0,0,0,19,8,0,0
in-193d18c2574de4de,LLM,6,3,3,3,0.6644223667200001,0,0,1,1,0,1,3,0,0,0,3,3,0,0,0
in-193d18c2574de4de,Hybrid,6,3,3,3,0.6644223667200001,0,0,1,1,0,1,3,0.0702029374015255,0,0,3,3,0,0,0
in-245d39f4f47bb97d,LLM,1,1,0,2,0.545130432,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
in-245d39f4f47bb97d,Hybrid,1,1,0,2,0.545130432,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0
in-2335dacd2512b6a9,LLM,6,1,5,0,0.6232394640000002,0,0,1,0,0,0,5,0,0,0,0,5,1,0,0
in-2335dacd2512b6a9,Hybrid,6,1,5,0,0.6232394640000002,0,0,1,0,0,0,5,0.0,0,0,0,5,1,0,0
in-21f3b05871873683,LLM,10,7,3,6,0.6494680971360001,0,0,1,2,1,3,3,0,0,0,0,9,1,0,0
in-21f3b05871873683,Hybrid,10,7,3,6,0.6494680971360001,0,0,1,2,1,3,3,0.14791376939047793,0,0,0,9,1,0,0
in-2343dce8f94f0a1c,LLM,13,10,3,2,0.6283681450085274,0,1,4,2,2,1,3,0,0,0,0,10,3,0,0
in-2343dce8f94f0a1c,Hybrid,13,10,3,2,0.6283681450085274,0,1,4,2,2,1,3,0.07893908149050391,0,0,0,10,3,0,0
in-23d80004b8615742,LLM,19,15,4,4,0.6697791347873685,0,0,3,4,3,5,4,0,0,0,9,9,1,0,0
in-23d80004b8615742,Hybrid,19,15,4,4,0.6697791347873685,0,0,3,4,3,5,4,0.3248780266484579,0,0,9,9,1,0,0
in-25943c33b8b06d57,LLM,9,6,3,11,0.6364054868480002,0,0,2,0,1,3,3,0,0,0,0,7,2,0,0
in-25943c33b8b06d57,Hybrid,9,6,3,11,0.6364054868480002,0,0,2,0,1,3,3,0.21889666133919425,0,0,0,7,2,0,0
in-2bf49c3826340f07,LLM,7,5,2,4,0.645079995977143,0,0,2,1,0,2,2,0,0,0,0,5,2,0,0
in-2bf49c3826340f07,Hybrid,7,5,2,4,0.645079995977143,0,0,2,1,0,2,2,0.0423086011683575,0,0,0,5,2,0,0
in-29a1ec53620be6a8,LLM,5,2,3,10,0.6236258236416001,0,1,1,0,0,0,3,0,0,0,1,3,1,0,0
in-29a1ec53620be6a8,Hybrid,5,2,3,10,0.6236258236416001,0,1,1,0,0,0,3,0.11626969504133904,0,0,1,3,1,0,0
in-284b7cf30eb81914,LLM,11,5,6,6,0.630887943168,0,0,2,1,1,1,6,0,0,0,2,7,2,0,0
in-284b7cf30eb81914,Hybrid,11,5,6,6,0.630887943168,0,0,2,1,1,1,6,0.1027310360502086,0,0,2,7,2,0,0
in-2c3357aa80d35805,LLM,2,2,0,2,0.63011979072,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
in-2c3357aa80d35805,Hybrid,2,2,0,2,0.63011979072,0,0,0,0,1,1,0,0.0,0,0,0,1,1,0,0
in-2b0d7561fe568605,LLM,13,8,5,13,0.6498153079532311,0,0,2,1,0,5,5,0,0,0,4,8,1,0,0
in-2b0d7561fe568605,Hybrid,13,8,5,13,0.6498153079532311,0,0,2,1,0,5,5,0.23917884644510687,0,0,4,8,1,0,0
in-2dbe2c923e947b35,LLM,4,1,3,3,0.6354546566400001,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0
in-2dbe2c923e947b35,Hybrid,4,1,3,3,0.6354546566400001,0,0,0,0,0,1,3,0.019230968073794718,0,0,0,4,0,0,0
in-2f5b3f13e615982a,LLM,18,11,7,15,0.6483291256319998,0,0,4,1,2,4,7,0,0,0,6,12,0,0,0
in-2f5b3f13e615982a,Hybrid,18,11,7,15,0.6483291256319998,0,0,4,1,2,4,7,0.11677242710441427,0,0,6,12,0,0,0
in-30cac704112e9e05,LLM,8,2,6,3,0.6422965905600001,0,0,1,0,0,1,6,0,0,0,0,7,1,0,0
in-30cac704112e9e05,Hybrid,8,2,6,3,0.6422965905600001,0,0,1,0,0,1,6,0.0,0,0,0,7,1,0,0
in-30af647e83a32e8c,LLM,7,3,4,12,0.6519998624914286,0,0,0,1,0,2,4,0,0,0,2,5,0,0,0
in-30af647e83a32e8c,Hybrid,7,3,4,12,0.6519998624914286,0,0,0,1,0,2,4,0.2671183611217298,0,0,2,5,0,0,0
in-31a68bf771762bbc,LLM,5,2,3,6,0.6561098173440001,0,0,1,1,0,0,3,0,0,0,0,5,0,0,0
in-31a68bf771762bbc,Hybrid,5,2,3,6,0.6561098173440001,0,0,1,1,0,0,3,0.06870832668504158,0,0,0,5,0,0,0
in-32372b2a70a2998c,LLM,7,5,2,7,0.6538008178285716,0,0,1,2,0,2,2,0,0,0,0,6,1,0,0
in-32372b2a70a2998c,Hybrid,7,5,2,7,0.6538008178285716,0,0,1,2,0,2,2,0.040450197039128576,0,0,0,6,1,0,0
in-35b0fd014582dbaf,LLM,8,4,4,0,0.6113418116400001,0,0,3,0,1,0,4,0,0,0,0,4,4,0,0
in-35b0fd014582dbaf,Hybrid,8,4,4,0,0.6113418116400001,0,0,3,0,1,0,4,0.008977124067331014,0,0,0,4,4,0,0
in-35e79000a6810bd1,LLM,2,2,0,4,0.70303514112,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0
in-35e79000a6810bd1,Hybrid,2,2,0,4,0.70303514112,0,0,0,0,1,1,0,0.14569860104142346,0,0,2,0,0,0,0
in-34c6520c08d55db7,LLM,9,2,7,9,0.6474619875200002,0,0,2,0,0,0,7,0,0,0,0,9,0,0,0
in-34c6520c08d55db7,Hybrid,9,2,7,9,0.6474619875200002,0,0,2,0,0,0,7,0.05829340846914995,0,0,0,9,0,0,0
in-3556957cea163733,LLM,14,14,0,21,0.6376367760480003,0,0,4,4,0,6,0,0,0,0,1,10,3,0,0
in-3556957cea163733,Hybrid,14,14,0,21,0.6376367760480003,0,0,4,4,0,6,0,0.2837379726622066,0,0,1,10,3,0,0
in-35e03ae1caff1780,LLM,10,4,6,7,0.6394600841760001,0,0,2,1,0,1,6,0,0,0,0,8,2,0,0
in-35e03ae1caff1780,Hybrid,10,4,6,7,0.6394600841760001,0,0,2,1,0,1,6,0.13209555839237413,0,0,0,8,2,0,0
in-3a25de1e948c9510,LLM,5,4,1,6,0.6852514801371429,0,0,0,1,0,3,1,0,0,0,3,2,0,0,0
in-3a25de1e948c9510,Hybrid,5,4,1,6,0.6852514801371429,0,0,0,1,0,3,1,0.07407291562933672,0,0,3,2,0,0,0
in-37ed4cd194d9bd61,LLM,9,4,5,5,0.6264971246400001,0,0,2,0,0,2,5,0,0,0,0,6,3,0,0
in-37ed4cd194d9bd61,Hybrid,9,4,5,5,0.6264971246400001,0,0,2,0,0,2,5,0.11918378328485514,0,0,0,6,3,0,0
in-366ed5fb266e1ee3,LLM,16,10,6,15,0.671214456,0,0,3,1,2,4,6,0,0,0,8,8,0,0,0
in-366ed5fb266e1ee3,Hybrid,16,10,6,15,0.671214456,0,0,3,1,2,4,6,0.24678509801553994,0,0,8,8,0,0,0
in-361c0675a3147072,LLM,11,6,5,5,0.6436164014836364,0,0,1,2,1,2,5,0,0,0,0,9,2,0,0
in-361c0675a3147072,Hybrid,11,6,5,5,0.6436164014836364,0,0,1,2,1,2,5,0.07685130771837738,0,0,0,9,2,0,0
in-368b730dfbfb2c56,LLM,10,8,2,10,0.6899483911679999,0,0,3,0,0,5,2,0,0,0,5,5,0,0,0
in-368b730dfbfb2c56,Hybrid,10,8,2,10,0.6899483911679999,0,0,3,0,0,5,2,0.08558833741608349,0,0,5,5,0,0,0
in-4249d42ce8b49e38,LLM,9,9,0,0,0.6485296715200001,0,0,3,1,2,3,0,0,0,0,1,5,3,0,0
in-4249d42ce8b49e38,Hybrid,9,9,0,0,0.6485296715200001,0,0,3,1,2,3,0,0.20867744332602026,0,0,1,5,3,0,0
in-3a40f4b75ecb8f1e,LLM,15,11,4,17,0.6684057113417142,0,0,3,0,1,7,4,0,0,0,8,6,1,0,0
