rank,demand_freq,mean_confidence,skill,skill_type,bloom_level,example_job_ids,demand_norm,trend_score_norm,trend_label,trend_q_value,future_weight,future_domain,mapping_margin,future_norm,coverage_gap,validity_score,priority_score,expert_priority
1,10,0.662,collaborate with team,Soft,Unknown,"['in-284b7cf30eb81914', 'in-368b730dfbfb2c56', 'in-4fac46ba90c4b16c', 'in-6c717e860c5e6516', 'in-75f30913de1b7459']",1.0,0.0,Unknown,1.0,0.17964528799057,Advanced Communication & Collaboration,0.06940386,0.3254277881209003,1.0,0.662,0.49762833643627014,
2,6,0.6215,solve problems,Soft,Unknown,"['in-35e03ae1caff1780', 'in-6c717e860c5e6516', 'in-8d007d54a6e9b3b3', 'in-9378455c1bb091a1', 'in-c795d5647c5b2fa6']",0.6,0.0,Unknown,1.0,0.3705509662628174,Critical Thinking & Problem Solving,0.19935948,0.6712537951081742,1.0,0.6215,0.4413761385324523,
3,1,0.6,conceptualize AI integration,Hard,Apply,['in-427c59728dce7b1c'],0.1,0.0,Unknown,1.0,0.5520281136035919,Human-AI Collaboration,0.04694408,1.0,1.0,0.6,0.33999999999999997,
4,1,0.674,develop AI/ML solutions,Hard,Create,['in-8c46863a1ce899a0'],0.1,0.0,Unknown,1.0,0.5516592264175415,AI & Machine Learning,0.049042523,0.9993317601459781,1.0,0.674,0.33979952804379343,
5,1,0.61,develop critical thinking skills,Soft,Unknown,['in-a794eba7547094f4'],0.1,0.0,Unknown,1.0,0.5306110382080078,Critical Thinking & Problem Solving,0.42464823,0.9612029263224018,1.0,0.61,0.3283608778967205,
6,1,0.678,build cloud infrastructure,Hard,Create,['in-dca34ad867616996'],0.1,0.0,Unknown,1.0,0.517979997396469,Cloud Computing & Infrastructure,0.3608541,0.9383217713589627,1.0,0.678,0.32149653140768875,
7,1,0.67,support AI platforms,Hard,Evaluate,['in-e1f6fb04d77bbcd3'],0.1,0.0,Unknown,1.0,0.51439368724823,AI & Machine Learning,0.024146318,0.9318251635597186,1.0,0.67,0.3195475490679156,
8,1,0.672,design AI/ML solutions,Hard,Create,['in-8c46863a1ce899a0'],0.1,0.0,Unknown,1.0,0.5138756036758423,AI & Machine Learning,0.04618007,0.9308866541620618,1.0,0.672,0.3192659962486185,
9,1,0.695,build AI and robotics products,Hard,Create,['in-9e8b8167a52cb05c'],0.1,0.0,Unknown,1.0,0.5138662606477737,Human-AI Collaboration,0.04030776,0.9308697292485687,1.0,0.695,0.31926091877457063,
10,1,0.621,work with multiple cloud infrastructures,Hard,Analyze,['in-2b0d7561fe568605'],0.1,0.0,Unknown,1.0,0.5108779758214951,Cloud Computing & Infrastructure,0.29979408,0.9254564454816037,1.0,0.621,0.3176369336444811,
