job_id,date_posted,knowledge,confidence_score,confidence_tier,source,job_date,job_year,job_month
in-e60f7f8e30553e08,,infrastructure as code,0.75,Medium High,GPT,2025-04-04,2025,2025-04
in-e60f7f8e30553e08,,configuration scripts,0.75,Medium High,GPT,2025-04-04,2025,2025-04
in-e60f7f8e30553e08,,production environment,0.75,Medium High,GPT,2025-04-04,2025,2025-04
in-f8982109357c56e0,,data engineering,0.826,High,BERT+GPT,2025-08-15,2025,2025-08
in-f8982109357c56e0,,machine learning,0.822,High,BERT+GPT,2025-08-15,2025,2025-08
in-f8982109357c56e0,,creative experimentation,0.827,High,BERT+GPT,2025-08-15,2025,2025-08
in-ea2cd0b0c6f52f4f,,foundation models,0.75,Medium High,GPT,2025-11-04,2025,2025-11
in-ea2cd0b0c6f52f4f,,microscopic motion of atoms,0.75,Medium High,GPT,2025-11-04,2025,2025-11
in-ea2cd0b0c6f52f4f,,macroscopic flow of liquids,0.75,Medium High,GPT,2025-11-04,2025,2025-11
in-ea2cd0b0c6f52f4f,,data centers,0.75,Medium High,GPT,2025-11-04,2025,2025-11
in-6e0bef22111034dc,,mechanical engineering,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-6e0bef22111034dc,,water systems,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-879b2fe47e1fbc66,,EHR,0.75,Medium High,GPT,2025-11-25,2025,2025-11
in-b743930ff16064e7,,science,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-b743930ff16064e7,,engineering,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-b743930ff16064e7,,data analytics,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-b743930ff16064e7,,technology,0.75,Medium High,GPT,2025-12-01,2025,2025-12
in-3787ada24baceced,,AI,0.823,High,BERT+GPT,2025-11-19,2025,2025-11
in-3787ada24baceced,,Machine Learning,0.822,High,BERT+GPT,2025-11-19,2025,2025-11
in-3787ada24baceced,,LLM,0.827,High,BERT+GPT,2025-11-19,2025,2025-11
in-dcd8dd1044f2926f,,stormwater management,0.831,High,BERT+GPT,2025-11-21,2025,2025-11
in-dcd8dd1044f2926f,,watershed planning,0.75,Medium High,GPT,2025-11-21,2025,2025-11
in-04d821a61bf4f3f8,,AWS,0.75,Medium High,GPT,2025-05-05,2025,2025-05
in-04d821a61bf4f3f8,,cloud environments,0.75,Medium High,GPT,2025-05-05,2025,2025-05
in-6434f75ccfa896cd,,ERP,0.75,Medium High,GPT,2025-11-25,2025,2025-11
in-6434f75ccfa896cd,,integrated applications,0.75,Medium High,GPT,2025-11-25,2025,2025-11
in-59f89f855608fde0,,Databricks,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,Spark,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,Kafka,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,Airflow,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,Temporal,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,dbt,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,Terraform,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,AWS,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,S3,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,EKS,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,MSK,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,DMS,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,Glue,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,data engineering,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,machine learning lifecycle,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,MLOps,0.75,Medium High,GPT,2025-11-26,2025,2025-11
in-59f89f855608fde0,,GenAI,0.75,Medium High,GPT,2025-11-26,2025,2025-11
