job_id,date_posted,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement,job_date,job_year,job_month
in-1ff77799c8c16660,,drive assurance initiatives,Soft,,0.763,Medium High,BERT+GPT,0.83,1.26,2025-10-23,2025,2025-10
in-1ff77799c8c16660,,support technology portfolio,Soft,,0.637,Medium,GPT,0.86,0.99,2025-10-23,2025,2025-10
in-1ff77799c8c16660,,advisory initiatives,Hard,Apply,0.515,Medium Low,BERT (standalone),0.89,0.89,2025-10-23,2025,2025-10
in-8b20bbf16019e5c1,,enable efficient infrastructure,Hard,Apply,0.572,Medium Low,GPT,0.89,0.9,2025-11-26,2025,2025-11
in-8b20bbf16019e5c1,,empower the bank,Soft,,0.565,Medium Low,GPT,0.74,0.9,2025-11-26,2025,2025-11
in-8b20bbf16019e5c1,,focus on productivity,Hard,Apply,0.654,Medium,GPT,0.79,0.9,2025-11-26,2025,2025-11
in-8b20bbf16019e5c1,,focus on quality & control,Hard,Apply,0.646,Medium,GPT,0.73,0.9,2025-11-26,2025,2025-11
in-8b20bbf16019e5c1,,focus on technology,Hard,Apply,0.558,Medium Low,GPT,0.77,0.9,2025-11-26,2025,2025-11
in-8b20bbf16019e5c1,,focus on people capability,Soft,,0.568,Medium Low,GPT,0.77,0.9,2025-11-26,2025,2025-11
in-8b20bbf16019e5c1,,focus on innovation,Soft,,0.568,Medium Low,GPT,0.77,0.9,2025-11-26,2025,2025-11
in-c6260e808dfcf870,,embrace diversity,Soft,,0.603,Medium,GPT,0.84,0.9,2025-11-10,2025,2025-11
in-c6260e808dfcf870,,celebrate diversity,Soft,,0.606,Medium,GPT,0.87,0.9,2025-11-10,2025,2025-11
in-c6260e808dfcf870,,recognize diversity's impact,Soft,,0.605,Medium,GPT,0.86,0.9,2025-11-10,2025,2025-11
in-08bda50c77b08f46,,lead effectively,Soft,,0.601,Medium,GPT,0.83,0.9,2025-11-24,2025,2025-11
in-08bda50c77b08f46,,apply fair human resources policies,Soft,,0.596,Medium Low,GPT,0.79,0.9,2025-11-24,2025,2025-11
in-08bda50c77b08f46,,manage competitive wages and benefits,Soft,,0.598,Medium Low,GPT,0.8,0.9,2025-11-24,2025,2025-11
in-08bda50c77b08f46,,pay close attention to health enthusiast matters,Soft,,0.595,Medium Low,GPT,0.78,0.9,2025-11-24,2025,2025-11
in-e60f7f8e30553e08,,build fully operational commercial applications,Hard,Create,0.688,Medium,GPT,0.86,0.9,2025-04-04,2025,2025-04
in-e60f7f8e30553e08,,use infrastructure as code,Hard,Apply,0.558,Medium Low,GPT,0.77,0.9,2025-04-04,2025,2025-04
