knowledge,freq,mean_confidence,best_future_domain,trend_label,trend_score,similarity,future_weight
cloud environments,2,0.75,Cloud & DevOps,Strong_Growth,0.85,0.65528566,0.5569928079843521
Cloud Infrastructure & Orchestration,1,0.829,Cloud & DevOps,Strong_Growth,0.85,0.65147537,0.5537540644407272
AI/ML,2,0.75,AI & Machine Learning,Strong_Growth,1.0,0.5533029,0.5533028841018677
AI -related,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.57945013,0.5504776239395142
machine learning lifecycle,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.54351836,0.5435183644294739
AI,12,0.7331666666666666,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5689554,0.5405076503753662
AI infrastructure,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.5381462,0.5381461977958679
Cloud platforms,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.6267111,0.532704409956932
cloud platforms,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.6267109,0.5327042579650879
AI tools,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5590916,0.5311370462179184
data & AI technologies and ecosystem,1,0.829,AI & Machine Learning,Strong_Growth,1.0,0.52696794,0.5269679427146912
AI /,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5397259,0.5127396047115326
cloud computing,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.60050416,0.5104285359382629
cybersecurity programs,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.56671864,0.5100467741489411
cybersecurity,2,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.5637157,0.507344126701355
data science,2,0.79,Data & Analytics,Strong_Growth,0.9,0.550263,0.4952366888523102
Data Science,1,0.75,Data & Analytics,Strong_Growth,0.9,0.55026287,0.4952365815639496
cybersecurity engineering,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.53905535,0.4851498126983642
enterprise AI,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.50736856,0.4820001363754272
AI-driven automation,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5059694,0.4806709349155426
AI productivity,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5045527,0.4793250858783722
DevOps,3,0.8039999999999999,Cloud & DevOps,Strong_Growth,0.85,0.5622133,0.4778813064098358
-assisted engineering,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5027761,0.4776372820138931
ethical AI,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.50196016,0.4768621504306793
cloud management,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.55890346,0.4750679373741149
data engineering,4,0.78925,Data & Analytics,Strong_Growth,0.9,0.52422786,0.4718050718307495
cybersecurity risk,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.52205265,0.4698473811149597
artificial intelligence,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.46767792,0.4676779210567474
AI and theoretical physics;,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.48784378,0.4634515926241874
AI-driven digital learning platform,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.46024176,0.4602417647838592
cloud,3,0.6773333333333333,Cloud & DevOps,Strong_Growth,0.85,0.5377964,0.4571269214153289
Cloud,1,0.532,Cloud & DevOps,Strong_Growth,0.85,0.5377964,0.4571269214153289
ML training,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.45249477,0.4524947702884674
AI techniques,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.4708963,0.4473514884710312
infrastructure as code (IaC) tools,1,0.829,Cloud & DevOps,Strong_Growth,0.85,0.51996446,0.4419697880744934
analytics tools,1,0.828,Data & Analytics,Strong_Growth,0.9,0.489559,0.440603095293045
infrastructure as code,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.518269,0.4405286520719528
machine learning,5,0.8109999999999999,AI & Machine Learning,Strong_Growth,1.0,0.43644953,0.4364495277404785
Machine Learning,2,0.8265,AI & Machine Learning,Strong_Growth,1.0,0.43644944,0.4364494383335113
DevOps Tools,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.51232195,0.4354736566543579
Responsible AI Management Systems,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.45374575,0.4310584649443626
machine learning workflows,1,0.831,AI & Machine Learning,Strong_Growth,1.0,0.42901164,0.4290116429328918
analytics platform,1,0.75,Data & Analytics,Strong_Growth,0.9,0.4753629,0.4278266072273254
GEN AI,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.4501657,0.4276574045419692
data analytics,3,0.75,Data & Analytics,Strong_Growth,0.9,0.47107217,0.4239649504423141
cloud security,1,0.831,Cloud & DevOps,Strong_Growth,0.85,0.49232963,0.4184801831841468
AI Business Process,1,0.83,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.43847942,0.4165554523468017
Kubernetes,4,0.78975,Cloud & DevOps,Strong_Growth,0.85,0.48662117,0.4136279955506324
sustainable AI,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.43089372,0.4093490332365035
data warehouse,1,0.75,Data & Analytics,Strong_Growth,0.9,0.45194542,0.4067508816719055
"Computer Science,",2,0.532,AI & Machine Learning,Strong_Growth,1.0,0.40038657,0.4003865718841553
"computer science,",1,0.532,AI & Machine Learning,Strong_Growth,1.0,0.40038657,0.4003865718841553
cyber risk management,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.44472742,0.4002546787261963
Cloud Run,1,0.828,Cloud & DevOps,Strong_Growth,0.85,0.47045496,0.399886716902256
-driven design.,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.42018473,0.3991754949092865
data pipeline,1,0.75,Data & Analytics,Strong_Growth,0.9,0.43983698,0.3958532810211181
analytics,3,0.75,Data & Analytics,Strong_Growth,0.9,0.43958277,0.3956244885921478
generative AI,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.4098158,0.3893249988555908
Security,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.430757,0.3876812875270843
data centers,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.45586202,0.387482713162899
"-functional collaboration,",1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.40394628,0.3837489664554596
Container platforms,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.45016938,0.3826439768075942
cloud database,1,0.831,Cloud & DevOps,Strong_Growth,0.85,0.4452446,0.3784579187631607
computer science,1,0.532,Data & Analytics,Strong_Growth,0.9,0.42021734,0.3781956017017364
Enterprise Data Platform,1,0.83,Data & Analytics,Strong_Growth,0.9,0.41787925,0.3760913282632828
EU AI Act,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.39492735,0.3751809850335121
enterprise security,1,0.83,Cybersecurity & Privacy,Strong_Growth,0.9,0.41501573,0.3735141545534134
Azure,2,0.6765,Cloud & DevOps,Strong_Growth,0.85,0.4379347,0.3722444921731949
data platforms,1,0.532,Data & Analytics,Strong_Growth,0.9,0.4122023,0.3709820687770843
data services,1,0.831,Data & Analytics,Strong_Growth,0.9,0.4105261,0.3694734871387481
AI image generation,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.38753077,0.3681542351841926
security program,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.40835637,0.3675207316875458
data visualization / reporting tools,1,0.831,Data & Analytics,Strong_Growth,0.9,0.40728202,0.3665538221597672
public security,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.40654877,0.365893891453743
infrastructure,1,0.826,Cloud & DevOps,Strong_Growth,0.85,0.43030888,0.3657625466585159
information security domain,1,0.827,Cybersecurity & Privacy,Strong_Growth,0.9,0.40579736,0.3652176260948181
AWS,5,0.7662,Cloud & DevOps,Strong_Growth,0.85,0.42861092,0.3643192827701568
Reporting and analytics,1,0.828,Data & Analytics,Strong_Growth,0.9,0.40198743,0.3617886900901794
clouds,1,0.825,Cloud & DevOps,Strong_Growth,0.85,0.42534834,0.3615460902452468
Software Engineering,1,0.831,Software Engineering Foundations,Moderate_Growth,0.6,0.6010343,0.3606205701828003
software engineering,1,0.532,Software Engineering Foundations,Moderate_Growth,0.6,0.6010343,0.3606205701828003
algorithms,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.3580036,0.3580035865306854
defense systems,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.39268625,0.3534176230430603
GCP,2,0.829,Cloud & DevOps,Strong_Growth,0.85,0.41513354,0.3528635054826736
-computing,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.37010616,0.3516008526086807
cyber regulations,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.39056313,0.3515068173408508
databases,2,0.7905,Data & Analytics,Strong_Growth,0.9,0.38440645,0.3459658026695251
cyber policies,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.38399044,0.3455913931131363
big data technologies,1,0.831,Data & Analytics,Strong_Growth,0.9,0.37929285,0.3413635611534119
industry expertise,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.33945733,0.3394573330879211
Python,8,0.797625,Data & Analytics,Strong_Growth,0.9,0.3766554,0.3389898598194122
"Engineering,",2,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.3546448,0.3369125649333
ERP datasets,1,0.75,Data & Analytics,Strong_Growth,0.9,0.3689072,0.3320164918899536
Architecture:,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.3473711,0.3300025463104248
Terraform,2,0.75,Cloud & DevOps,Strong_Growth,0.85,0.38791373,0.3297266736626625
production environment,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.38680318,0.3287827029824257
predictive analytics,1,0.828,Data & Analytics,Strong_Growth,0.9,0.36426678,0.3278401046991348
Microsoft,3,0.6046666666666667,AI & Machine Learning,Strong_Growth,1.0,0.32451615,0.3245161473751068
visual storytelling,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.46141574,0.3229910165071487
software development,3,0.7293333333333333,Software Engineering Foundations,Moderate_Growth,0.6,0.53073704,0.3184422254562378
secure communications,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.3531278,0.317815026640892
Google,1,0.532,AI & Machine Learning,Strong_Growth,1.0,0.31722176,0.3172217607498169
algorithmic,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.3335168,0.3168409660458565
Microservices,1,0.829,Cloud & DevOps,Strong_Growth,0.85,0.37072867,0.3151193708181381
