knowledge,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,future_weight
AI/ML technologies,1,0.831,FD1,AI & Machine Learning,Strong_Growth,1.0,0.6960614,0.696061372756958
AI/ML algorithms,1,0.821,FD1,AI & Machine Learning,Strong_Growth,1.0,0.63210297,0.6321029663085938
AI/ML technology,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.6312596,0.6312596201896667
Data Science & AI.,1,0.532,FD1,AI & Machine Learning,Strong_Growth,1.0,0.62529474,0.6252947449684143
AI/ML systems,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.62285125,0.6228512525558472
AI/ML platforms,2,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.610379,0.6103789806365967
"Cloud Platforms (AWS, Azure, GCP)",1,0.821,FD3,Cloud & DevOps,Strong_Growth,0.85,0.7152982,0.6080034494400024
Cloud & Infrastructure,2,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.71303517,0.6060798913240433
AI-assisted development,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.6345925,0.6028628498315811
AI Engineering,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.6314833,0.5999091506004334
AI engineering,1,0.827,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.6314833,0.5999091506004334
AI/ML frameworks,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5986049,0.5986049175262451
AI/ML services,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.597265,0.5972650051116943
AI/ML models,3,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5958818,0.5958818197250366
AI-assisted engineering tools,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.62686294,0.5955197960138321
AI-enabled engineering practices,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.6138031,0.5831129342317581
"cybersecurity principles, threats, tactics,",1,0.532,FD4,Cybersecurity & Privacy,Strong_Growth,0.9,0.6452831,0.5807547926902771
AI Assisted Product Development,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.60601145,0.5757108777761459
AI design and development tools,1,0.831,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.60276574,0.5726274520158767
cloud environment,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6677844,0.5676167339086532
cloud development,2,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6677437,0.5675821304321289
Cloud development,1,0.827,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6677437,0.5675821304321289
cloud deployments,2,0.7855,FD3,Cloud & DevOps,Strong_Growth,0.85,0.66746867,0.5673483669757843
AI/ML techniques,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.56673694,0.5667369365692139
AI learning market,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.566274,0.5662739872932434
AI workforce,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.56588274,0.5658827424049377
AI-assisted product development,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.59313583,0.5634790420532226
AI projects,1,0.828,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5917631,0.5621749252080918
AI initiatives,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.591264,0.5617008090019225
Data & AI Solutions,1,0.831,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5616543,0.5616543292999268
cloud infrastructures,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.65803266,0.559327757358551
Cloud environments,1,0.822,FD3,Cloud & DevOps,Strong_Growth,0.85,0.65528566,0.5569928079843521
cloud environments,15,0.7459333333333333,FD3,Cloud & DevOps,Strong_Growth,0.85,0.65528566,0.5569928079843521
Azure cloud environments,2,0.822,FD3,Cloud & DevOps,Strong_Growth,0.85,0.6549089,0.5566725611686706
AI build and integration,1,0.829,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5857709,0.5564823597669601
Machine Learning platforms,1,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5554403,0.5554403066635132
Cloud Infrastructure & Orchestration,1,0.829,FD3,Cloud & DevOps,Strong_Growth,0.85,0.65147537,0.5537540644407272
AI/ML,9,0.75,FD1,AI & Machine Learning,Strong_Growth,1.0,0.5533029,0.5533028841018677
Cloud/Computing,1,0.75,FD3,Cloud & DevOps,Strong_Growth,0.85,0.65050906,0.5529327005147934
AI-native engineering,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5814402,0.5523681998252868
cloud/infrastructure technologies,2,0.829,FD3,Cloud & DevOps,Strong_Growth,0.85,0.64968055,0.5522284716367721
AI-assisted UX,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.58121425,0.5521535366773606
AI -related,1,0.532,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.57945013,0.5504776239395142
AI Integration:,1,0.532,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.577219,0.5483580589294433
AI-related products,1,0.75,FD6,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.5769899,0.5481403946876525
"AI services,",1,0.532,FD1,AI & Machine Learning,Strong_Growth,1.0,0.54723644,0.547236442565918
"enterprise, and cloud systems,",1,0.532,FD3,Cloud & DevOps,Strong_Growth,0.85,0.64294076,0.5464996457099914
